Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name Something You Try To Avoid Doing When Posing For A Photo.,Closing Eyes,35,Smiling,22,Laughing,12,Sneezing,10,Frowning,8,Moving,6,Slouching,5
"Besides Music, Name Something You Might Hear On A Morning Radio Show.",News,53,Talking,16,Weather,13,Jokes,5,Commercials,4,Traffic,4,Sports,3
Name Something You See In A Room That Tells You A Teenage Girl Lives There.,Posters,33,Color Pink,27,Makeup,15,Clothes,121,Diary,3,Magazines,3,Stuffed Animals,3
Name Something You Think America Or Americans Waste Money On.,War/Weapons,25,Lottery/ Gambling,24,Eating/Drinking,12,Cars/ Gasoline,10,Clothes/Shoes,8,Games/ Toys,6,Television,5
Tell Me Something You Put In An Emergency Road Kit.,Flares,35,Flashlight,33,First Aid Kit,12,Blanket,6,Car Jack,5,Water,5,Jumper Cables,4
What Do Some People Refuse To Go Swimming Without?,Bathing Suit,41,Sunscreen,16,Goggles,14,A Swim Cap,12,Float/ Inner Tube,7,Life Vest/ Floaties,5,A Friend,5
What Might A Date Do On Your Answering Machine That Would Keep You From Calling Them Back?,Say I Love You,28,Ramble,19,Shot,14,Cry,10,Beg For A Date,9,Say Wrong Name,8,Sing,6
Name Something That Prevents You From Seeing For Miles.,Fog,32,Precipitation,21,Trees,15,Darkness,13,Mountains,7,Buildings,4,Vision,3
Tell Me An article Of Clothing Worm By Both Men And Women,Jacket,24,Jeans,24,T-Shirt,15,hat,9,Earrings,8,Pants,8,Belts,6
What Might A Kid Take Along If He’s Planning To Run Away Fro Home?,Clothes,36,Food,25,Money,15,Bedding,7,Toys,6,backpack,5,Bike,3
Name A movie Based On A TV Show Or Skit,Charlie’s Angels,21,Bewitched,16,Wayne’s World,15,Duke’s Of Hazzard,14,Brady Bunch,13,Starsky and Hutch,7,Blues Brothers,6
Name A word YOu Might see Before Or After The Word “Wax”,Earwax,26,Carwax,18,Beeswax,14,Wax Museum,8,Hot Wax,8,Wax Paper,8,Candle wax,8
What Profession Would You Want Your Mate To Have Just Because It’d Be Useful Around The House,Plumber,27,Carpenter,25,Doctor,15,Housekeeper,13,Chef,7,Electrician,5,Mechanic,5
Name Something You’d Hate To Find Has Happened To Your Car While It was parked.,Hit By Another Car,43,Carjacked,17,Keyed,13,Broken Into,10,Flat Tire,5,Towed,4,Parking Ticket,3
Name Something That No Wedding Ceremony Should Be Without,Bride,23,Minister,22,rings,19,Music,12,Flowers,8,Grooms,7,Vows,3
Name An Occupation Where You Have To Wake Up Early In The Morning.,Nurse,22,Paperboy,22,Doctor,21,Construction Worker,11,Bus Driver,7,Farmer,7,Baker,6
Name A Movie Based On A TV Show Or Skit.,Charlie’s Angels,21,Bewitched,16,Wayne’s World,15,Duke’s of Hazzard,14,Brady Bunch,13,Starsky And Hutch,7,Blues Brothers,6
Name Something You Would Pack For Your Stay At A Hotel Made Of Ice,Coat,55,Blanket,22,Heater,6,Glove,5,Sweater,3,Hat,3,Boots,3
Name A Word That You Might See Before Or After The Word “Wax”.,Ear Wax,26,Car Watch,18,Beeswax,14,Hot Wax,8,Wax Museum,8,Wax Paper,8,Candle Wax,8
Tell Me A Specific Part Of Your Body That You Never Worry About Getting Fat.,Feet,41,Hands,22,Nose,11,Ears,10,Mouth,7,Butt,3,Neck,3
Name Something You’d Hate To Find Had Happened To Your Car While It Was Parked.,Hit By Another Car,43,Carjacked,17,Keyed,13,Broken Into,10,Flat Tire,5,Towed,4,Parking Ticket,3
Name something you would hate to find under your bed.,Monster,43,Snake,16,Rotting Food,12,Spider,10,Rodent,8,Dust,4,Person,3
Name Something Politicians Always Say They’ll Improve.,Tax System,25,Budget Deficit,21,Health Care,17,Schools,14,War,9,Welfare,7,Roads,4
"Name Something You Find Out About A Hotel Ahead Of Time, When Decided Whether To Stay There.",Price,39,Pool,22,Location,22,Star Rating,7,Includes Breakfast?,5,Clean?,3,Vacancy,3
Name Something That No Wedding Ceremony Should Be Without.,Bride,23,Minister,22,Rings,19,Music,12,Flowers,8,Groom,7,Vows,3
What’s The Worst Thing To Leave In Your Pants Pocket When They Go Through The Wash,Money,63,Pen,12,Gum,8,Phone,5,Keys,4,Lipstick,3,Tissues,3
"No Matter What Your Age, Name Something That Can Make You Feel Like A Kid Again",Eating Sweets,29,Falling In Love,27,Playing Games/Sports,13,Being Around Kids,8,Disney/Theme Park,7,Riding A Bike,6,Dancing,4
Name An Excuse People Give For Not Seeing Their Dentist,Cost/No Insurance,34,Scared,26,Pain,15,Can’t Get Off Work,8,Sick,6,No Time,5,No Bad Teeth,3
Name A Good Gift For A High School Graduate,Car,34,Money,34,Luggage,4,Dictionary,4,Date Book,3,Back Pack,2,A Trip,2
Name Something You Might Want To Buy If You’re Hosting A Halloween Party,COSTUME,35,CANDY,18,DECORATIONS,17,MUSIC,11,PUMPKIN,8,DRINKS,6,APPLES,5
Name A Cartoon Character That’s Been Around Forever,Mickey Mouse,32,Buds Bunny,20,Charlie Brown,10,Mighty Mouse,6,Snoopy,4,Popeye,4,Betty Boop,3
Name Something Or Someone You’d See At A nightclub,PEOPLE,19,BARTENDER,14,LIGHTS,12,DRINKS,9,DJ,8,BAND,5,DANCERS,5
Name Something A Person Might Reach For At The Dinner Table,Salt And Pepper,43,Glass,15,Silverware,14,Bread,9,Napkins,8,Butter,6,Food,5
Name Something You’d Find In A Scientist’s Lab,Test Tubes,26,Beakers,23,Microscope,18,Chemicals,12,Bunsen Burners,8,Lab Coat,6,Goggles,4
Name Someone Big Bird Might Invite To His Birthday Party,SNUFFLEUPAGUS,19,OSCAR THE GROUCH,18,ELMO,18,COOKIE MONSTER,13,KERMIT THE FROG,9,ERNIE,9,GORDON,7
Name A Singer OF Classic Holiday Standards,BING CROSBY,53,NAT KING COLE,20,FRANK SINATRA,14,PERRY COMO,5,BURL IVES,3,ELVIS PRESLEY,2,JOHNNY MATHIS,2
Tell Me The Title Of A Movie That Used Clay-Motion Or Puppets,Muppet Movie,36,Gumby The Movie,16,Wallice And Grommit,13,Dark Crystal,12,Chicken Run,9,Team America,6,Nightmare Before Xmas,5
Name Something Your Neighbor Might Ask To Borrow,Cup Of Sugar,51,Lawn Mower,9,Charcoal,4,Milk,4,Mayonnaise,3,Tool,3,RAKE,3
Name Something Associated With Jimmy Carter,PRESIDENT,48,PEANUTS,32,WHITE HOUSE,5,AMY CARTER,3,HABITAT FOR HUMANITY,3,PEACE NEGOTIATIONS,2,ROSLYNN CARTER,2
Name An Instrument In An Orchestra,VIOLIN,47,FLUTE,12,TRUMPET,9,TROMBONE,6,TUBA,6,CELLO,4,SAXOPHONE,4
Name A Character From The Lord Of The rings,Frodo,37,Grandalf,16,Gollum,13,Legolas,12,Aragorn,9,Sam,7,Gimli,3
Name A Color Most People Wouldn’t Want To Paint Their House,Black,27,Pink,23,Purple,22,Orange,9,Red,7,White,4,Green,2
Name Something People Do For Fun Even Though It Scares Them,Roller Coasters,51,Bungee Jumping,12,Horror Movies,11,Sky Diving,9,Fun Houses,8,Driving Fast,5,Rock Climbing,4
Tell Me The Longest You’ve Ever Gone Without Eating.,24 Hours,35,2 Days,27,18 Hours,7,10 Hours,6,12 Hours,6,20 Hours,5,1 and a half days,5
Name Something People Do To Keep Warm In The Winter.,Snuggle,28,Drink Hot Cocoa,25,Build A Fire,25,Turn Up Heat,7,Wear A Coat,7,Exercise,4,Blanket,3
Name Something Snow White And Cinderella Have In Common.,A Prince,31,Evil Stepmothers,21,Fairy Tails,18,Beauty,7,Women,6,Princesses,5,Cartoons,4
Name A Complaint A Circus Clown Might Have About His Job.,Bad Kids,29,Too Many Kids,13,Low Pay,13,Smells Bad,10,No One Laughs,10,Costumes Are Hot,10,Gets Tired,7
Name A Part Of The Body That Often Itches.,Head,34,Back,15,Nose,14,Feet,9,Arm,8,Eyes,7,Hand,5
Name A Candy That Comes In Different Colors,Skittles,30,M&M,27,Lifesavers,18,Starburst,6,Now & Laters,4,Taffy,3,Jolly Ranchers,3
Name A Popular New Year’s Resolution,Lose Weight,51,Quit Smoking,20,Exercise,9,Do Better In School,6,Quit Drinking,5,Be A Better Person,4,Save Money,3
Tell Me The Number Of People Who Can Ride Comfortably In A Van. (Numeric Only),6,47,7,23,8,17,5,5,10,3,9,2,2,2
Name Something That Is Folded.,Clothes,32,Napkin,16,Origami/Paper,14,Towels,13,Sheet,9,Newspaper,8,Blanket,2
Name Something That’s Often Sold At A Swap Meet. (Be More Specific Than Junk Or Stuff),Clothes,46,Baseball Cards,11,Furniture,10,Tools,7,Dishes,7,Cars,6,Books,4
Name Someplace Where They Sell Cotton Candy.,Circus,36,Fair,26,Carnival,23,Amusement Park,5,Movie Theater,4,Candy Store,3,Chuck E. Cheese,2
Name A Type Of Tree That Looks Pretty In The Fall.,Oak,33,Maple,22,Pine,15,Apple,14,Evergreen,6,Spruce,5,Elm,4
Name Something The Indians Taught To The Pilgrims.,How To Grow Corn,46,Hunting,10,Sharing,9,Thanks,8,Peace,8,Cooking,6,How To Smoke,4
Name A Room In Your Home That’s Hard To Keep Clean.,Bathroom,34,Kitchen,31,Bedroom,17,Den,5,Dining Room,3,Kids Room,3,Living Room,3
Tell Me Something That Is Plugged Into An Outlet In A Hotel Room.,Lamp,32,TV,29,Hair Dryer,13,Phone,9,Clock,8,Coffee Pot,4,Microwave,3
Name Something You Need To Bake A Cake.,Flour,34,Eggs,31,Cake Mix,9,Baking Pan,8,Oven,6,Spatula,3,Milk,2
Name Something That Can Stink Up Your Car,Cigarettes,56,Rotten Fruit,8,Spoiled Milk,8,Fish,7,Wet Dog,6,Body Ordor,5,Onion,3
Name Someone You Don’t Want To Get A Phone Call From.,Police,33,IRS,16,Telemarketer,14,Your Ex,11,Bill Collecter,9,Attorney,4,Principal,4
Name Something You Might Chase If You Were A Dog.,Cats,51,Cars,24,Other Dogs,5,Balls,4,Bone,3,Your Tail,3,Rabbit,3
Tell Me Something At A Beach That Begins With “S.”,Sand,36,Sun,23,Seashore,14,Sunscreen,8,Surfers,6,Shells,4,Sandals,3
Name A Dessert That’s Made With Fruit.,Pie,46,Fruit Salad,13,Jello,9,Strawberry Shortcake,9,Banana Split,6,Fruit Cake,4,Sherbet,4
Name A Tourist Attraction That Offers A Great View,Grand Canyon,30,Empire State Building,15,Space Needle,14,Eiffel Tower,12,Washington Monument,9,Niagra Falls,7,St. Louis Arch,5
Name Something That Would Be Annoying For Your Roommate To Forget To Do.,Clean,26,Lock Door,18,Pat Rent,17,Flush Toilet,11,Turn Off lights,9,Shower/Bathe,7,Take Out The Trash,4
What Sport Would Become Disastrous If The Regular Ball Was Replaced With A Bowling Ball?,Baseball,29,Football,27,Basketball,14,Soccer,11,Tennis,8,Dodgeball,4,Volleyball,3
Name Someplace You Might Expect To Find A Snake.,Woods,36,Mountains,13,Farm,12,Garden,12,Grass,9,Desert,9,Zoo,7
"Besides White Christmas, Name A Song On Big Crosby’s White Christmas Album.",Jingle Bells,40,Silent Night,31,Silver Bells,15,I’ll Be Home For Xmas,5,Santa Coming To Town,2,Beginning To Look A,2,Adeste Fideles,2
"Besides On The Job, Name Another Life Situation Where You’ve Wished You Had Earplugs.",Concert,21,While Traveling,16,Sleeping,15,Babysitting,14,Swimming,13,In Traffic,12,Arguement,6
Name The Best Flavor Of Popsicle.,Cherry,54,Strawberry,18,Orange,15,Grape,6,Raspberry,2,Banana,2,Bubble Gum,2
"Name Something People Put Toothpicks In. (Food Is Not An Answer, Be More Specific)",In Your Teeth,35,Sandwich,19,Olives,15,Appetizers,9,Cheese Cube,6,Meatballs,4,Cakes,4
Name A Bad Job For Someone Who’s Afraid of Dogs.,Dog Catcher,34,Mail Carrier,29,Veterinarian,13,Dog Walker,6,Pet Shop Manager,5,Shelter Worker,4,Dog Trainer,3
Name Something Specific You Need If You Want To Make Coffee For Your Guests.,Coffee Beans,30,Coffee Maker,21,Water,14,Sugar,13,Mugs,10,Creamer/Milk,8,Filter,3
Name A Type Of Beverage You Are Allowed To Drink While Driving.,Soda Pop,39,Coffee,26,Water,19,Tea,7,Juice,3,Milk,2,Gatorade,2
Name A Person You Wouldn’t Kiss Under The Mistletoe.,Sibling,29,Parent,26,In Law,11,Santa,8,Exercise,6,Boss,6,Grandparent,6
Name Something Hawaii Is Known For.,Beaches,37,Luau,15,Volcanos,13,Hula Dancers,11,Leis,9,Pineapples,8,Islands,6
"Besides numbers,name a button on a calculator",Plus,25,Equal,19,Multiply,14,Divide,12,On/Off,8,Percent,8,Minus,6
Name Something You Find On A Fast Food Burger.,Beef,27,Ketchup,24,Mustard,16,Lettuce,15,Grease,7,Pickles,6,Onions,5
Name Something You Might Use Bricks To Build.,House,78,Wall,5,Barbecue Grill,4,Fireplace,4,Patio,2,Doghouse,2,Stairs,2
Name Different To Use Left Over Turkey,Sandwiches,38,Soup,20,Turkey Salad,16,Turkey Pot Pie,14,Casserole,7,Turkey Ala King,3,Turkey Hash,2
Tell Me A Reason Why A Person Might Be Awake At 3AM.,Insomnia,34,Working,29,Sick,13,New Baby,8,Studying,6,Nightmare,4,Use Bathroom,3
"If All Else Fails, Name Something People Get For Dad For The Holidays.",Tie,48,Tools,13,Socks,12,Money,12,Cologne,4,Shirt,4,Watch,2
Name A Reason Why Someone Might Miss Their Exit While Driving On A Freeway.,Not Paying Attention,33,Busy Talking,26,Cell Phone,16,Speeding,8,Radio is On,6,In The Wrong Lane,5,Weather,4
Tell me how many months it takes before a dog is house trained.(Numeric Only),3,31,2,21,4,14,1,13,5,5,6,5,8,4
Name a smell typically associated with Christmas.,Evergreen,45,Cinnamon,22,Cookies,15,Turkey,6,Peppermint,5,Ham,3,Apples,2
"In the heat of the moment,what might happen that could ruin it?",Phone call,37,Pass gas,20,Family member,12,Weather,11,Sneeze/cough,8,Door bell,6,Bad breath,3
"When ordering pizza,name something extra you might ask for.",Cheese,66,Pepperoni,17,Anchovies,4,Mushrooms,3,Hamburger,2,Onion,2,Bell Peppers,2
"When ordering pizza,name something extra you might ask for.",Cheese,66,Pepperoni,17,Anchovies,4,Mushrooms,3,Hamburger,2,Onion,2,Bell Peppers,2
Name something campers might take with them for emergencies.,First aid kit,41,Flashlight,23,Water,12,Knife,6,Matches,3,Cellular Phone,3,Blanket,3
"Name something that takes a long time to dry after it gets wet.(Clothes is not an answer,be more specific.)",Hair,39,Jeans,18,Carpet,11,Jacket,6,Shoes,6,Dog,6,Blanket,5
Name a fish that tastes good grilled.,Salmon,38,Trout,17,Flounder,12,Swordfish,9,Red fish,6,Bass,5,Catfish,5
Name something specific you might have insured.,Car,49,House,31,Jewelry,9,Life,3,Art,3,Cell Phone,2,Computer,2
Name something that’s sold at an airport gift shop.,Postcards,29,Magazine,19,Candy,15,Newspaper,15,Books,10,Food,5,Greeting cards,5
"Name something you might see in a High School shop class.(Tools is not an answer,be more specific)",Wood,38,Saw,26,Car,6,Drill,5,Books,5,Lathe,5,Hammer,5
Name something you probably would see in New York’s Central Park.,Benches,37,Joggers,21,Muggers,15,Pigeons,8,People,7,Trees,6,Homeless people,6
Tell me something you’ve accidentally dropped in the toilet.,Phone,37,Jewelry/watch,22,Toothbrush,13,Comb/hairbrush,9,Keys,8,Glasses,5,Money,3
Name a movie featuring a horse.,Black Beauty,22,Seabiscuit,20,Black Stallion,17,Horse Whisperer,12,Dreamer,11,National Velvet,9,My Friend Flicka,5
Name a U.S. city that starts with the letter “P”.,Pittsburgh,40,Philadelphia,23,Portland,9,Phoenix,8,Pasadena,4,Pomona,4,Park City,4
Name a movie character you would hate to be stuck with in a broken elevator.,Freddy Krueger,24,Hannibal Lector,19,Jason,18,Dracula,12,Daffy Duck,10,Darth Vader,8,Pee Wee Herman,7
Name another word for “Tired”.,Exhausted,51,Sleepy,23,Worn out,4,Stressed,4,Fatigued,4,Burnt out,4,Restless,3
Name a takeout food a family might have for dinner.,Pizza,33,Chow Mein,28,Chicken,25,Hamburgers,4,Mexican,3,Hot Dogs,3,Sandwiches,2
Name something that Godzilla would crush at Disneyworld.,Bambi,30,Mickey Mouse,25,Castle,15,People,10,Epcot Center,9,Space Mountain,5,Tea Cups,5
Name something you wear that you should never spend more than $20 on?,Socks,32,Undergarments,29,T Shirt,12,Hat,8,Makeup,7,Sunglasses,5,Tie,4
Tell me an age when girls start thinking about boys.(Numeric only),12,27,13,26,10,12,14,11,11,7,6,5,5,5
Tell me the average temperature in Fahrenheit at which people set their thermostat.(NUMERIC ONLY),70,31,75,26,72,16,100,6,68,6,65,4,60,4
Tell Me How Long In Months A Couple Must Be Dating Before It’s Considered “Serious.”,6 Months,47,12 Months,24,2Months,9,3 Months,6,24 Months,6,4 Months,6,8 Months,3
"If Madonna Were To Make A Snowman, Name Something She Might Put On It.",Pointy Bra,52,Top Hat,13,Jewelry,8,A Cross,8,dress,7,A Wig,7,Makeup,5
Name Something You’d See At A Gas Station.,Gas Pumps,41,Cars,23,Drinks,14,Oil,7,People,6,Lottery Tickets,5,Air Pump,4
Name A City That Has A Lot Of Hotels.,Las Vegas,71,New York,13,Los Angeles,6,Atlanta,4,Chicago,2,Orlando,2,Atlantic City,2
"Besides Toys, Name Something A Kid Might Receive At Christmas",Clothes,55,Cash,15,Books,7,Candy,7,Bike,3,Underware,3,Ball,2
Name Another Word For Toilet,John,37,Commode,18,Potty,14,Can,12,Latrine,7,Loo,4,Bathroom,2
Name A Vegetable That Is Not Green,Carrot,32,Corn,28,Pumpkin,12,Potato,9,Beet,8,Cauliflower,7,Egg Plant,4
Name Something Pilgrims Wear,Hat,55,Capes,11,Buckle Shoes,10,Bonnets,10,Big White Collars,5,Bloomers,5,Stockings,4
"Besides The Star, Name Someone That Might Ride In A Rock Star’s Tour Bus.",Manager,31,Driver,19,Groupies,16,Band,12,BodyGaurd,12,Agent,5,Journalist,5
Name A Celebrity Who Is Often Photographed Off-Screen With Children.,Angelina Jolie,42,Madonna,19,Rosie O’Donnell,11,Will Smith,8,Oprah Winfrey,7,Brad Pitt,7,Jerry Lewis,6
Tell Me A Part Of A Bicycle That Would Be Tough To Ride Without.,Pedals,25,seat,23,Wheels,21,Handlebars,12,Chain,12,Bell,3,Brakes,3
Name Something A Person On A Diet Might Eat For Breakfast.,Fruit,33,Yogurt,26,Dry Toast,12,Cereal,11,Slim Fast,8,Bran Muffins,6,Breakfast Bar,4
Name A Place Where Beverages Are Always Overpriced,Bar/Club,32,Movie Theater,19,Concert,17,Sporting Event,14,Airport,7,Fair,6,Coffee Shop,3
Name Something You Wish People Wouldn’t Do In An Elevator.,Smoke,34,Pass Gas,22,Sneeze,12,Talk,8,Kiss,7,Stand Too Close,4,Cough,4
Name An Actor Or Actress Who Commands A High Salary To Be In A Film.,Tom Cruise,24,Jim Carrey,17,Brad Pitt,16,Julia Roberts,14,Tom Hanks,11,Denzel Washington,11,Will Smith,7
Name A City With A Lot Of Pollution,Los Angeles,59,New York,19,St. Louis,9,Cleveland,5,Chicago,3,Detroit,3,Houston,2
Name Something People Give As A Housewarming Gift.,Plant,27,Vase With Flowers,19,Fruit Basket,15,Linens,13,Bottle Of Wine,11,Toaster,10,Dishes,5
Name Something The Police Use To Identify A Criminal.,Fingerprints,63,Drivers License,8,Pictures,7,Mug Shot,4,Computer,3,License Plate,3,DNA Testing,3
Name A Place Where You Nap Just To Pass The Time.,At Home,30,Work,24,Long Car/Bus Ride,18,Airport/Plane,7,Park,7,School,7,Doctor’s Office,7
"Who’s An Actor That Hails From Canada,Eh?",Jim Carrey,33,Mike Myers,29,Michael J Fox,15,Dan Aykroyd,7,William Shatner,6,John Candy,5,Donald sutherland,4
Name Something Baseball Players Do While They’re In The Dugout.,Spit,27,Chew Tobacco,22,Chew Gum,20,Drink Fluids,12,Watch Game,8,Talk,6,Cheer,5
"If You Asked A Six-Year-Old, Name Something They’d Tell You About The Moon.",Made Of Cheese,48,Man Lives In It,17,Round,10,Astronauts Landed,10,Big,7,Bright,5,Far Away,3
Name Something Grown-Ups Have To Do That Babies Don’t.,Work,60,Pay Taxes,13,Feed Themselves,10,Pay Bills,5,Clean,5,Brush Teeth,4,Wipe Themselves,3
Name Something A Clown Might Be Carrying,Balloons,28,Pie,21,Flowers,14,Horn,12,Ball,11,Umbrella,9,handkerchief,4
Which Country Would You Want To Become The 51st American State?,Canada,39,Mexico,19,Puerto Rico,14,England,7,Australia,6,France,6,Italy,5
Name Something People Keep In Their Car For Emergencies.,Flashlight,46,Flares,11,Blanket,10,Jumper Cable,9,Spare Tire,7,Cell Phone,5,Jack,4
Name Something Or Someone Associated With “The Partridge Family.”,Music,36,Bust,18,Danny,13,Shirley,11,Big Family,9,Keith/David Cassidy,8,Laurie/Susan,5
Name Something Related To Finances That It’s Hard To Explain To A Kid.,Taxes,37,Credit,25,Interest,12,Budget,8,Stocks,7,Mortgage,6,Loans,5
Name Something You Put On Before Going Out Into The Snow.,Snow Boots,40,Coat,23,Gloves,17,Long Johns,7,Hat,5,Scarf,5,Snow Pants,3
Name Something A Kid Might Need To Buy Before Starting A New School Year,Backpack,27,Clothes,20,Pencils,12,Pens,12,Crayons,9,Books,7,Notebook,5
Name A Place Where You Might Have A Friendly Conversation With A Total Stranger.,Grocery store,24,Bar,21,Airplane,20,Park,13,Coffee Shop,10,Bus,7,Parking Lot,5
Name A Place Where They Always Keep You Waiting.,Doctor’s Office,29,Department Store,21,Airport,14,Pharmacy,13,Dentist’s Office,9,Restaurant,8,DMV,6
Name a food that comes in a box.,Cereal,43,Macaroni and cheese,14,Crackers,13,Hamburger Helper,5,Donuts,5,Popcorn,5,Pizza,5
Name A Toy Parents Have To Put Together.,Bicycle,46,Doll House,12,Train Set,11,Race Track,11,Kite,10,Jungle Gym,8,Play House,2
Name The Author Living Or Dead Who Writes The Scariest Stories.,Stephen King,55,Edgar Allan Poe,20,HP Lovecraft,8,R.L.Stine,6,Anne Rice,5,Dean Koontz,4,Poppy Z Brite,2
Name One Of Santa’s Reindeer,Rudolph,52,Donder,10,Blitzen,9,Dancer,8,Vixen,7,Cupid,6,Prancer,5
Which Class Do Students Take In College Thinking It Would Be An Easy ‘A’?,Art,33,English,26,Gym,24,Music,5,Psychology,5,Cooking,4,Drama,3
Name A Clothing Designer Who’s World Famous.,Calvin Klein,32,Ralph Lauren,14,Giorgio Armani,13,Tommy Hilfiger,12,Versace,11,Donna Karan,10,Gucci,8
"If You Could Have A Movie Star Narrate Your Life, Whose Voice Would You Choose?",Morgan freeman,25,James earl Jones,24,Brad Pitt,13,Julia Roberts,11,Sean Connery,10,Denzil Washington,9,Robert Redford,8
"Besides President, Name A Political Office People Run For.",Governer,32,Senator,16,Congress,15,Mayor,14,Vice President,12,Attorney General,6,Secretary Of State,5
Name A Game That You See People Playing In The Park,Frisbee,37,Baseball,20,Football,11,Tag,10,Chess,9,Basketball,6,Soccer,5
Name A Piece Of Information You’d Be Surprised To Find On Someone’s Business Card.,Age,49,Home Address,14,Weight,10,Social Security,9,Home Phone,7,Marital Status,6,Religion,5
Name Something Specific Inside Your Car That You Might Ask The Car Wash Guys To Clean.,Floor Mats,25,Windows,22,Ashtray,19,Carpet,9,Trunk,6,Dashboard,6,Steering Wheel,5
Name An Animal At The Zoo You Can Recognize Just By It’s Sound.,Elephant,36,Lion,34,Monkey,17,Seal,6,Bear,3,Ape,2,Tiger,2
Why Might Someone Dislike A Family Feud Question?,Hard/Confusing,37,Silly,22,Too Easy,10,Too Personal,10,Bad Answers,8,Too American,7,Too Long,6
Name Something Or Someone Associated With “The Addams Family.”,Thing,29,Lurch,19,Cousin It,13,Pugsley,12,Morticia,11,Wednesday,9,Uncle Fester,7
Name Something A Supermarket Keeps Refrigerated Or Frozen.,Milk,59,Ice Cream,9,Meat,7,Butter,5,Cheese,5,Eggs,3,Vegetables,3
Name Something You Might Learn How To Do In The Boy Scouts,Tie A Knot,39,Build A Fire,33,Camping,5,Swim,4,Take An Oath,4,Pitch A Tent,3,Wilderness Survival,3
Tell Me The Latest Hour You Could Drink Coffee Without It Affecting Your Ability To Fall Asleep.,5PM,27,8PM,19,6PM,17,7PM,12,9PM,8,4PM,8,3PM,4
Name Something In Your House You Wish Were Just A Little Bit Bigger,TV,30,Bathroom,22,Bed,13,Kitchen,10,Closets,9,Bedroom,6,Backyard,3
Tell Me The Worst Part About Going To The Beach,Sand,44,Sun Burn,21,Crowded,15,Parking,6,Driving,6,Warm Food,4,Being Looked At,4
Name Another Word For “Fake.”,Phony,28,FALSE,19,Imposter,15,Imitation,13,Counterfit,11,Artificial,7,Bogus,5
Name A Gift A Child May Give To A Teacher For The Holidays,Apple,32,Candy,19,Card,12,Coffee Mug,11,Cookies,10,Candle,8,Book,7
Name Something People Remember About The TV Show “Cheers.”,Bar,34,Norm,28,Woody,10,Sam Malone,9,Frasier Crane,3,Cliff Calvin,3,Boston,3
Name A Sport In Which The Athletes Don’t Wear A Lot Of Clothes.,Swimming,52,Basketball,20,Volleyball,18,Soccer,6,Tennis,6,Wrestling,3,Boxing,3
Name Someone You Wish Wouldn’t Call So Often,Telemarketers,30,In Laws,23,Bill Collectors,16,Mother,10,Girlfriend,5,Crank Callers,5,Boyfriend,5
Name An Accessory That Might Be Sold With A James Bond Action Figure.,Gun,44,Car,14,Sunglasses,11,Phone,10,Clothes,9,Watch,5,Briefcase,4
Name Something Embarrassing That Might Happen While You’re Laughing,Pass Gass,23,Pee,20,Snort,18,Spit,15,Teeth Fall Out,7,Cry,7,Burp,3
Name Something Specific A Woman Looks At When She First Meets A Man On A Blind Date.,Eyes,73,Shoes,9,Smile,4,Muscles,3,Wallet,3,Clothes,3,Butt,2
Name Something That Has A Tip,Pen/Pencil,36,Restaurant Server,20,Finger,15,Nose,10,Needle/Pin,7,Q Tip,4,Dart/Arrow,4
Name The Room In Your House That’s Used The Least.,Living Room,38,Dining Room,26,Extra Bedroom,9,Attic,6,Bedroom,5,Storage Room,4,Den,4
Name Something People Know About Luke Skywalker,Darth Vaders Son,30,Star Wars,29,Becomes A Jedi,17,Uses The Force,6,Droid is R2 D2,5,Pilot,4,Destroys Death Star,2
Name The Hardest Musical Instrument To Learn How To Play,Violin,27,Piano,20,Guitar,16,Harp,10,Drums,8,French Horn,8,Flute,4
Name Something Your Mother Made You Do That You Would Also Have To Do In The Army.,Make Your Bed,55,Clean Up,13,Wash The Dishes,10,Clean Bathroom,5,Laundry,3,Obey,3,Fold Your Clothes,3
Name Something That Gets Delivered By Trucks.,Package,23,Mail,21,Furniture,17,Cars,14,Appliances,9,Milk,8,Food,8
Name One Thing People Wear On New Year’s.,Hats,74,Dress,10,Tux,4,New Clothes,3,Tiara,2,Jewlery,2,Glitter,2
Name Something You Do Before Party Guests Arrive.,Clean,46,Cook,26,Decorate,11,Get Dressed,5,Shower,4,Have A Drink,3,Go To The Bathroom,2
Name Something That A Germophobe Would Hate To Share,Food/Drink,41,Bathroom,16,Lip Balm/Makeup,12,Toothbrush,12,Towel/Washcloth,9,Comb/Brush,5,Headphones,3
Name A Movie That Wasn’t Nearly As Good As The Book,Harry Potter,47,Twilight,12,The Shining,11,Lord Of The Rings,10,Color Purple,9,Gone With The Wind,7,Hitchhikers Guide,4
Name A Company That Makes Sport Utility Vehicles,Ford,62,Chevrolet,10,Chrysler,5,Dodge,5,GM,4,Toyota,4,Jeep,3
Name A Phrase That Begins With The Word “Jump.”,Jump Rope,25,Jumpstart,23,Jump Up,15,Jumping Jacks,14,Jump For Joy,9,Jump The Broom,6,Jump The Gun,4
Tell Me Something A Cab Driver Gets Sick Of His Passengers Doing.,Talking,43,No Tip,24,Giving Orders,9+,Eating,7,Drunk/Sick,6,Kissing,4,Leaving Things,3
