Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6
Name Something Specific You Might Borrow From Your Coworker’s Desk That You’re Least Likely To Return,Pen/Pencil,43,Stapler,20,Paperclip,18,Tape,8,Paper,7,Candy,4
What’s The First Thing New Parents Buy After Finding Out They’re Having A Baby?,Crib,48,Clothes,30,Diapers,10,Stroller,4,Bottles,3,Car Seat,3
Name Something People Need Change In Order To Pay For.,Laundry,31,Tolls,24,Parking,15,Soda/Snacks,13,Pay Phone Calls,6,Car Wash,4
Name Something Couples Do Months In Advance To Prepare For Having A Baby.,Buy Clothes,27,Save Money,26,Buy Crib,19,Decorate Nursery,11,Have Baby Shower,10,Choose A Name,4
Name A Christmas Movie People Are Tired Of.,A Wonderful Life,24,White Christmas,22,Miracle On 34th St,22,Home Alone,12,Nightmare Before,6,Christmas Story,6
If Which Profession Do You Often Find People With Wacky Hair?,Hair Stylist,45,Musician,26,Clown,15,Scientist,5,Model,3,Comedian,3
"If You Went Back In Time 10,000 Years, Name A Luxury Item You’d Probably Miss.",Car,39,TV,23,Air Conditioning,11,Telephone,8,Toilet Paper,6,Computer,4
Name A Place You Wait Where It Could Be Awkward To Make Too Much Small Talk With Others,Hospital,33,Bathroom,29,Bus Stop,15,Jail,13,Voting Booth,4,Court/Lawyer,4
Why Might Someone Refuse To Use A Swimming Pool?,Dirty Water,38,Can’t Swim,35,Cold,11,Kids In It,5,Clorine,3,Crowded,3
Name A Really Long Movie,Titanic,43,Lord Of The Rings,19,Gone With The Wind,15,Harry Potter,10,King Kong,7,Dances With Wolves,4
"Besides Pants, Name An Article Of Clothing That Might Be Made Out Of Denim.",Jacket,43,Shirt,34,Skirt,8,Hat,6,Vest,5,Dress,4
What’s The First Symptom You Get When Starting A Cold?,Runny Nose,43,Cough,31,Sneeze,12,Sore Throat,7,Fever,4,Drowsiness,3
"At The Grocery Store, Name Something A Kid Is Told Not To Do.",Run Ahead,42,Touch Anything,24,Steal,14,Scream/Cry,9,Beg For Junk Food,4,Eat Food,4
Which Talk Show Host Would You Like To Have Interview You?,Oprah Winfrey,47,David Letterman,12,Barbara Walters,9,Jay Leno,8,Jerry Springer,8,Ellen,8
Name Something You Wouldn’t Want To Happen When You’re In The Bathtub,Slip,30,Appliance Falling In,22,Phone Ring,15,Power Goes Out,15,Doorbell,5,Fall Asleep,4
Name A Measurement A Man Probably Doesn’t Know About His Wife’s Body.,Her waist,33,Bust,30,Her Hips,10,Her Weight,7,Butt Size,7,Feet Size,6
Name A Kind Of Cat You Probably Wouldn’t Keep As A Pet,Tiger,36,Lion,31,Bob Cat,10,Jaguar,6,Leopard,6,Feral,4
Name Something Specific You’d Probably See On A Brochure For Las Vegas.,Casino/Slots,32,Money/Coins,25,Poker Chips,13,Bar/Restaurant,12,Show Girls,9,Fountain,6
"Name Something You Keep In An Ice Chest. (Food Is Not An Answer, Be More Specific)",Soft Drinks,31,Beer,27,Ice,27,Water,4,Chicken,2,Frosty Mug For Beer,2
Name Something About Winnie The Pooh That Is Different From Real Bears.,Can Talk,40,Wears A Shirt,23,He’s Yellow/Orange,11,Has ‘Hunny’ Jar,10,Friends With People,8,Gentle,3
Name Something You Were Afraid To Do For The First Time.,Drive,42,Kiss/Intimacy,27,Swim,11,Ride A Bike,6,Go To School,5,Get On A Plane,4
"Besides Jewelry, Name Something A Person Might Wear Around Their Neck.",Scarf,40,Tie,31,Identification,12,Brace,7,Keys,6,Glasses,3
How Can You Tell That Your Date Isn’t Interested In The Movie?,Falls Asleep,42,Yawning,26,More Into You,12,Talking Alot,9,Bathroom Often,6,Goes Home,3
Who In Your Personal Life Would You Least Expect To Swindle You?,Mom,59,Significant Other,20,Dad,7,Best Friend,5,Sister,5,Grandma,3
Name A Musical Instrument That Is Soothing.,Violin,27,Flute,23,Harp,20,Piano,20,Saxophone4Guitar,3,Guitar,3
Name Something You’d Buy If You Wanted To Dress Up Like Fidel Castro,Military Uniform,30,Beard,25,Cigar,23,Hat,9,Bandana,4,Gun,3
Name Something Specific You Might Wear To Bed If You’re Really Cold,Socks,48,Sweater/Sweatsuit,18,Flannel PJs,16,Long Johns,7,Robe,5,Hat,4
"Name A Design You Often See On Socks, But Not On Sneakers",Stripes,32,Animals,17,Argyle,14,Flowers,12,Polka Dots,10,Hearts,9
"If A Woman Was To Marry Tarzan, Name Something She Would Have To Get Used To",Living In Jungle,38,His Yelling,17,His Swinging,17,Apes,13,His Outfit,9,His Odor,5
Which Sport At The Olympics Would The Average Person Off The Street Be Most Competitive At?,Track,37,Basketball,24,Swimming,18,Boxing,6,Shotput,6,Hockey,4
Name Something A Truck Driver Might Have To Go Without For A While.,Bathroom Break,28,Comfortable Bed,22,A Meal,18,Intimacy,13,A Bath,8,Home,6
"If Your Local Gym Was Run By 5-Year-Olds, What Classes Would You Take Instead Of Pilates?",Tag,31,Dodge Ball,21,Jump Rope,18,Kickball,16,Trampoline Use,6,Hopscotch,5
Name Something An Employee Might Be Scolded About That Isn’t Directly Related To Job Performance.,Attire,38,lateness,21,Personal Calls,15,Office Gossip,11,Attitude/Behavior,8,Hygiene,3
Name A Weather Term That Can Also Describe Your Wife.,Hot,34,Stormy/Violent,23,Cold/Frigid,16,Sunny,10,Gloomy,9,Icy,5
By What Method Might A Woman Make The Announcement That She’s Pregnant?,Over Dinner,29,With A Party,21,In An Email,16,Send Out Announcements,13,By Phone,9,In Person,6
Who Wears A Uniform With Shirt And Pants Of The Same Color?,Medical Professional,35,Cop,31,Military,11,Mail Carrier,8,Prisoner,6,Janitor,5
Name Something You Eat By The Handful. (Be Specific Candy Is Not An Answer.),Popcorn,40,Nuts,31,M&M,12,Potato Chips,9,Chocolate,2,Jelly Bean,2
We Asked 100 Women: Name The Item In Your Purse That A Germophobe Would Say Needs To Be Disinfected,Lipstick/Makeup,30,Cash/Wallet,25,Phone,22,Hairbrush/Comb,11,Pens/Pencils,5,Keys,4
Name Something About Babies That Makes You Think Twice About Becoming A Parent.,Crying,43,Diapers,22,Expensive,11,Sleepless nights,9,College Tuition,4,Kids Grow Up,4
Name A Person Who’s Last Name Is “Johnson.”,Magic Johnson,34,Lyndon B Johnson,13,Don Johnson,13,Andrew Johnson,8,Howard Johnson,7,Lady Bird Johnson,5
Name A Household Chore That You Do Your Best Thinking While Doing,Dishes,34,Ironing,25,Sweeping,15,Vacuuming,9,Dusting,5,Laundry,5
"Name Something You Do At Home, But Not While Staying In A Hotel.",Cook,51,Clean,12,Smoke Inside,11,Play Loud Music,9,Walk Around Naked,7,Laundry,5
Name A Way Children Submit Their Wishlists To Santa.,Mail,72,Tell Parents,8,Email,6,Tell Santa,4,Prayers,2,Leave Under The Tree,2
Name a good gift for a lifeguard.,Sunscreen,34,Bathing suit,32,Whistle,12,Sunglasses,9,Bullhorn,4,Life preserver,3
Name Something In The House That You Might Not Use When People Are Trying To Sleep.,Vacuum,36,TV,32,Stereo,14,Blender,6,Phone,5,Lights,4
Tell Me A Fictional Character Whose Name Includes The World “Little.”,Stuart Little,43,Little Bo Peep,26,Little John,8,Chicken little,6,Lil red Riding Hood,6,Little Boy Blue,5
Name A Type Of Pet That People Rarely Take Out Of Their House.,Cat,28,Snake,24,Bird,19,Fish,15,Hamster/Gerbil,8,Lizard,3
Grey Hair On Older Men Is Distinguished. What Happens To Aging Men That Isn’t Distinguished?,Wrinkles,43,Baldness,23,Gain Weight,18,Nose/Ear Hair,5,Lose Teeth,4,Lose Hearing,3
Name Something A Celebrity Might Discuss On A Talk Show,Movie,31,Book,27,Family,12,Drugs/Addiction,11,Romance,8,losing weight,5
"As A House Guest, Name Something In The Host’s Bathroom That You Assume You Can Use",Toilet Paper,32,Towels,29,Soap,18,Toothpaste,7,Shampoo,5,Lotion,3
Name Something You Make For Dinner When You’re Short On Time.,Pizza,30,Spaghetti,20,TV Dinners,15,Hot Dogs,12,Sandwiches,10,Mac And Cheese,6
Name Something A School Might Forbid Students From Wearing.,Hat,36,Shorts,25,Mini Skirt,15,Tank Top,15,Jewelry,3,Make Up,3
Something In A Woman’s Purse That’s Not In A Man’s Wallet.,Make Up,47,Feminine Products,24,Perfume,9,Brush,6,Lotion,4,Mirror,3
"Name A Job, Often Depicted On TV, That You’ve Dreamt Of Having Yourself.",Doctor,30,Police Officer,26,Actor,16,Lawyer,12,Detective,7,Model,5
Give A Word Frankenstein Would Use To Describe Himself In A Personal Ad.,Tall,40,Strong,15,Ugly,15,Big,10,Terrifying,10,Monstrous,4
Name A Word People Use To Describe Someone Who’s In A Bad Mood,Grouchy,28,Grumpy,21,Crabby,18,Cranky,13,Angry,7,Moody,5
Name a reason a husband might send his wife flowers.,Anniversary,53,Apology,16,It’s her birthday,12,Valentine’s Day,6,To express love,4,Mother’s Day,2
Name Something That’s Expensive Even When It’s In Used Condition.,Car,50,House,18,TV,12,Jewelry,8,Computer,6,Name Brand Clothes,5
"Name An Occupation Where You Often See People With Stiff, Hairsprayed Hair.",Model,33,Hair Stylist,26,Actor,22,Rock star,8,Food server,7,News Anchor,3
"Besides Photos, Name Something Someone Would Include In Their Scrapbook.",Letters,43,Stickers,26,Hair,11,Ticket Stubs,8,Drawings,5,News Clippings,4
Name An Occasion For Which People Often End Up Overspending,Christmas,48,Wedding,20,Birthday,11,Vacation,8,Shopping Trip,6,Night Out,4
Name An Advantage Of Working At Home.,Spend Time With Kids,24,Set Own Hours,17,Dress Casual,15,Sleep In,10,Rest,10,No Boss,10
Name Something A Kid Might Do That Would Get Them Kicked Out Of A Public Swimming Pool,Urinating,61,Running,11,Skinny Dipping,8,Dive In Shallow Part,5,Fighting,5,Not Following Rules,4
Name Something A Zombie Might See A Doctor About,Green Skin,31,No Pulse,26,Insomnia,15,Bloody Sores,10,Falling Apart,7,Odd Appetite,7
Tell Me Something That Responsible Adults Do On A Regular Basis,Work,34,Pay Bills,25,Cook,13,Clean/Laundry,13,Doctor/Dentist,7,Oil Change,6
Which Style of Music Would Be Least Effective To Sing When Putting Your Baby To Sleep?,Rock,38,Hip Hop,35,Heavy Metal,17,Classical,4,Jazz,3,Opera,3
Name A Position Played In Baseball Game.,Pitcher,27,catcher,24,shortstop,20,First Base,10,Batter,9,Outfield,7
Name A Job Which Is Busiest In The Summer Time,Lifeguard,31,Gardening,26,Theme Park Employees,15,Ice Cream Vendor,9,Construction,7,Painter,5
Name Something A Pirate Has To Take Off Before He Goes To Bed,Eye Patch,32,Hook,24,Hat,21,Wooden Leg,7,Sword,6,Parrot,5
Name something you don’t want to have happen during a moment of silence.,Pass gas,25,Cough,20,Caught talking,15,Get the giggles,14,Baby cries,13,Phone rings,11
Name Something You Do To Keep Yourself From Laughing.,Hold Breath,34,Cover Mouth,24,Bite Lip,21,Think Of something Sad,7,Look Away,6,Pinch Yourself,6
Name A Job Where You Might Have Your Name On The Front Of Your Shirt.,Food Server,31,Salesperson,25,Doctor,15,Mechanic,13,Nurse,8,Police Officer,5
Name something you might see at a bus stop.,People,37,Bench,23,Bus,13,Bus signs,10,Bus schedule,8,Poster,6
"Besides Spaghetti, Name A Type Of Pasta.",Penne,24,Lasagna,19,Fettucini,17,Rotini,16,Linguine,9,Ravioli,8
"Name Something You Use In The Bathtub, that You’d Look Silly Bringing Into A Jacuzzi",Bar Of Soap,34,Wash Cloth/Loofah,28,Bubble Bath/Salts,13,Shampoo,11,Rubber Ducky,8,Razor,3
"If A Movie Was Really Terrible, Name Something You Might Do In The Theater To Pass The Time.",Sleep,38,Play On Phone,24,Visit Snackbar,19,Whisper,9,Kiss,5,Read,3
Name Something You Can’t Do Until You’re A Certain Age.,Drink Alcohol,44,Drive,31,Vote,9,Smoke,7,Gamble,4,Retire,3
Name Something Cowboys Are Good At.,Riding Horses,54,Roping,21,Shooting,6,Hunting,6,Stealing Cattle,3,Rodeo,3
Name Something Associated With The Wizard Of Oz.,Dorothy,44,Toto,16,Tin Man,12,Yellow Brick Road,11,Wicked Witch,10,Ruby Slippers,5
Name A Reason A Casino Dealer Might Complain About Someone At Their Table,Cheating,44,Drunk,15,Smoking,12,Winning Too Much,10,Loud,7,Rude,4
Tell Me A Girl’s Name That Begins With “S.”,Sarah,35,Sue/Susan/Suzanne,17,Samantha,17,Stephanie,15,Sally,7,Sandy,5
Name Something You Might Do If Your Friend Got Bitten By A Snake,Call 911,31,Suck Out Venom,24,Run And Get Help,13,Take Them To Hospital,10,call A Doctor,10,Scream,6
Name An Occupation Where You Work In A Studio.,Photographer,41,Director,14,Artist,13,Actor,13,Musician,10,Screenwriter,4
"Besides chicken,name something you associate with Kentucky Fried Chicken.",Colonel Sanders,30,Mashed potatoes,27,Coleslaw,17,Biscuits,13,Corn on the cob,5,Secret recipe,2
Name Something A Person Might Read Everyday,Newspaper,38,Email/Web,27,Bible,14,Book,10,Magazines,6,Signs,5
Name Something Parents Think Their Teenage Son Spends Too Much Time Doing.,Playing Video Games,31,Talking On The Phone,18,Watching TV,18,Chasing Girls,12,Listening To Music,9,Sleeping,5
Name Something You Might Find Under A Rock.,Worm,30,Ants,27,Spider,12,Dirt,11,Roly Poly,9,Slug,4
What Might You Find Inside A Book That Tells You It Was Meant For Children?,Pictures,65,Animal Characters,11,Princess,7,Once Upon A Time,4,Pop Up Pages,4,Small Words,3
Name Something Every Professional Boxer Needs.,Gloves,66,Trainer,19,Mouth Guard,3,Cup,3,Stamina,2,Speed,2
Name Something Tarzan Might Do That Could Get Him Thrown Out Of A Nice Restaurant,Scream,42,Swing From Ceiling,27,Eat With Fingers,8,Wear A Loin Cloth,8,Grunt,4,Stand On The Table,4
"Besides Lights, Name Something In Your House That Wouldn’t Work If The Electricity Went Out.",TV,40,Refrigerator,27,Clock,9,Computer,7,Telephone,6,Stereo,5
Name A Nickname For A Skinny Person,Slim,36,Twig,19,Beanpole,18,Skin And Bones,10,Toothpick,5,Stick,5
Name Something A Grown Man Might Be Embarrassed To Admit That He Collects.,Dolls,33,Stamps,30,Action Figures,18,Baseball Cards,9,Comic Books,6,Stuffed Animals,3
Tell Me A Place Where It’s Easy To Make Friends.,Work,30,School,23,Bar,20,Place Of Worship,15,Internet,6,Summer Camp,4
Name Something People Wear To Protect Themselves.,Coat,22,Helmet,22,Jockstrap,13,Bulletproof Vest,11,Hat,11,Sunscreen,9
Name A Way You Can Tell That Someone Was Just At The Beach,Suntan,47,Sunburn,26,Sand,12,Wet,4,Beach Smell,3,Swim Suit,2
Name A Reason A Person Might Wear Their Pajamas Outside.,Get Mail/Newspaper,37,Emergency/Fire,24,They’re Cold,18,They’re Lazy,13,Pajama Party,5,Take Out Trash,3
Name A Sauce You Wouldn’t Put On Ice Cream.,Hot Sauce,36,Ketchup,17,Spaghetti Sauce,16,Barbque Sauce,13,Alfredo,13,Teriyaki,8
Name A Famous Character Who Is Never Seen Without His Mask.,Batman,33,Spiderman,21,Zorro,20,Jason Vorhees,14,Lone Ranger,6,The Mask,3
Name Something You’d Be Turned Off To Hear Your Date Bragging About.,Their Wealth,38,Their Conquests,34,Their Looks,10,Their Job,5,Their Education,3,Their Car,3
Name A Sign That A Tornado Is Coming.,Strong Wind,46,Dark Sky/Clouds,23,Hail,9,Rain,8,Siren,6,Thunder Storm,5
"In a large family,what often gets mixed up with that of your siblings?",Laundry,48,Names,21,Toys,11,Birthdays,9,Food,7,Toothbrush,3
Name Something Specific That Doesn’t Get Cleaned Between Flights On An Airplane,Seats,54,Bathroom,21,Floor,10,Pillows/Blankets,6,Windows,3,Tray Tables,3
"Name Something Men In Fairy Tales Fight Against, That Real Men Don’t",Dragon,42,Ogre,24,Witch,13,Monster,8,Beast,5,Troll,3
Name Something Associated With Donald Trump.,Money,50,Comb Over,11,The Apprentice,9,Real Estate,8,Ivana,7,Trump Towers,7
Name The Worst Part About The Lavatories On Planes,Too Small,70,They Stink,10,They Are Dirty,5,No Ventilation,4,No Smoking,3,Turbulence,2
Name Something You Might Be Asked To Do At The Doctor’s Office,Undress,30,Cough,25,Wait,20,Open Mouth,9,Bend Over,7,Urine Sample,6
Name An Occasion That A Man Might Propose To His Girlfriend,Valentines Day,31,Her Birthday,22,Christmas,18,At A Wedding,11,Anniversary,8,Vacation,7
Name A Card Game That Takes A Long Time To Play.,Poker,41,Bridge,14,Uno,14,Solitaire,8,Gin Rummy,7,War,7
Name Something A Person Uses To Wipe Their Mouth With.,Napkin,75,Paper Towel,8,Handkerchief,5,Tissue,5,Sleeve,2,Wash Cloth,2
Tell Me A Street Name Found In Almost Every Big City.,Main,64,Elm,15,First,5,Martin Luther King,5,Broadway,5,Washington,3
Name Something A Baseball Player Might Be Holding During A Game.,Bat,45,Mitt,31,Baseball,9,Batting Gloves,6,Chewing Tobacco,4,Water Bottle,2
Name A Color You See A Lot Of In Mobster Movies,Black,41,Red,19,Green,16,Blue,9,Grey,8,White,6
Name Something People Dig Up.,Bones,41,Dirt,20,Treasure,18,Flowers/Plants,6,Weeds,6,Worms,4
Name Something That’s Taught In The First Grade.,ABC’S,30,Reading,29,Math,15,Writing,9,Spelling,9,Writing Name,4
Name Someone Whose Phone Calls You Try To Avoid.,Bill Collector,40,Telemarketer,22,Parents,13,Boss,10,In Laws,7,Your Ex,5
Tell Me How Many Items They Allow In Most Supermarket Express Lines. (Numeric Only),10,52,15,23,12,9,8,8,9,5,7,3
Name A Grown-Up Activity Kids Do When They’re Playing Pretend,Play Teacher/Go To Job,22,Dress Up/Make Up,21,Go To Doctor,18,Cook,12,Have A Wedding,12,Act Like Mom/Dad,8
Name Someplace You Might Hear An Echo,Cave,39,Canyon,37,Hallway,10,Phone Booth,4,Mountain,4,Bathroom,2
"Besides A Camera, What Should You Pack For A Trip To The Rainforest?",Umbrella,31,Rain Coat,20,Bug Spray,16,Food/Water,15,Hat,6,Binoculars,5
Name Something You’d Never Wear To Work Out At The Gym.,High Heels,24,Jeans,23,Dress/Skirt,21,Bathing Suit,12,Business Suit,11,Boots,5
Name An Act Of High School Rebellion That You Can’t Imagine A Kindergartener Doing.,Smoking,39,Fighting,21,Alcohol/Drugs,17,Skipping School,14,Swearing,5,Breaking Curfew,3
Name Something Both Men And Women Use To Keep Their Hair In Place.,Hairspray,46,Gel,18,Mousse,11,Rubber Band,9,Comb,5,Brush,4
Name A Way You Know You’ve Arrived In New York City,Big Building,22,Statue Of Liberty,21,Traffic,18,Crowded,13,Smog,9,Cabs,7
Name A Reason You Might Suspect You’re Becoming A Martian.,Turning Green,39,Ears Grow,35,Growing Antennas,8,Eyes Get Bigger,6,Glowing,4,Can’t Speak,2
Name Something People Usually Keep From High School,Yearbook,55,Class Ring,18,Diploma,13,Pictures,3,Books,2,Cap And Tassel,2
Name A Sound You Hear A Lot Of In A High School Hallway,Bell,25,Talking,24,Yelling,22,Laughing,10,Ingrown Toenail,7,Cell Phones,5
Name Something You Expect To See Inside Every Hotel Room,Bed,40,Towels,28,TV,15,Bible,7,Soap,4,Coffeemaker,3
What Might You Hear In A Weather Forecast That Would Keep You From Going Outside?,Rain,47,Blizzard,21,Thunder Strorm,12,Tornado,9,Hurricane,4,Cold Temperature,3
Name The Best Place To Be On A Winter Night,Near The Fireplace,37,Home,28,In A Warm Bed,14,In A Warm Place,5,Mountains,5,Cozy Cottage,4
Name A Woman In A Man’s Life Who His Wife Might Not Get Along With.,Mother,53,Ex,17,Administrative Assistant,11,Sister,7,Female Friend,5,Daughter,3
"If You Were Friends With Nancy Drew, What Might You Buy For Her Birthday?",Magnifying Glass,42,Book,38,Notebook,5,Pen,5,Flashlight,4,Detectives Hat,4
Name A Profession Where An Engaged Woman Might Remove Her Extravagant Ring Before Work.,Cook/Baker,29,Doctor,25,Exotic Dancer,13,Hair Stylist,11,Actor/Model,11,Dishwasher,8
Name A Specific Smell From A Diner In The Morning That Makes You Want To Go In,Bacon,45,Coffee,25,Eggs,11,Pancakes,11,Sausage,4,Donuts,3
Name Something Noah Might Have Worried About During His Voyage On The Ark.,Not Enough Food,33,Animals Getting Sick,21,Boat Sinking,17,Leaks,8,When Rain Would End,6,Drowning,6
Name Something In Your House You Could Not Live Without,TV,27,Bed,18,Telephone,17,Kitchen,16,Running Water,9,Family,6
Name An Activity That Involves A Paddle,Ping Pong,36,Rowing,34,Paddle Ball,19,Racquetball,4,Cricket,3,Frat Initiation,2
Name Another Word For Kiss,Smooch,44,Peck,32,Smack,8,Lip Lock,6,Sugar,3,French,3
Name A Household Appliance You Would Actually Enjoy Receiving As A Gift.,Blender,24,Dish Washer,17,Coffe Maker,17,TV,16,Microwave,11,Fridge,9
Name Something You Keep In Your Pocket Or Purse “Just In Case.”,Money,32,Personal Products,24,Tissue,18,Mace/Weapon,12,Medicine,6,Gum,5
Name Something In A Woman’s Purse That She Might Lend Out And Not Get Back.,Money,33,Pen,19,Lipstick,18,Hygeine Product,15,Tissue,8,Gum/Candy,5
Which Of Your Usual Bills Increase Over The Holidays?,Credit Card,31,Electric/Lights,23,Food,19,Phone,11,Transportation/Gas,8,Heat,5
What Might You See In A Personals Ad That Would Make You Think It Was Placed By Superman?,Can Fly,38,Wears Cape,26,No Kryptonite,14,Has Xray Vision,8,Strong,6,Hero,4
Name A Vehicle That Has A Loud Engine,Race Car,29,Truck,28,Motor Cycle,15,Mustang,8,Corvette,6,Hummer,5
Name An Accessory That Some People Want In A Designer Brand.,Purse,51,Watch,20,Belt,8,Sunglasses,6,Scarf,5,Jewelry,5
Name Something That Little Girls Do When They Get Together,Giggle,33,Play Dolls,27,Dress Up/Makeover,16,Play House,11,Tea Party,6,Jump Rope,4
Name A Sauce You Put On Meat.,A1 Sauce,43,Teriyaki,18,BBQ Sauce,16,Soy Sauce,12,Tobasco,6,Ketchup,5
Name An Expression With The Word “Kick” In It,Kick Butt,46,Kick Boxing,30,A Kick Out Of You,9,Kick Ball,7,Kick It In,4,Kick Off,4
Name The Magazine Cover You’d Most Like To Appear On,Sports Illustrated,38,Time,30,G.O.,10,Vogue,8,Rolling Stone,4,Money,3
Name Something That Plugs Into Your Computer.,Printer,41,Mouse,21,Keyboard,14,Phone,9,Router,9,Monitor,6
Name Santa’s Biggest Problem,Weight,31,Time,23,Going Down Chiminy,18,Weather,14,Not Enough Elves,4,Naughty Kids,4
What Might You Find Out About A Man That Would Make You Think He Wasn’t Ready To Commit?,Two Timing,46,Lives With Parents,22,Parties Alot,13,Young,7,Hung Up On Ex,5,No Job,3
Name Something You Wish For While Waiting For The Doctor In An Exam Room,Short Wait,31,Good News,26,TV,17,Magazine,11,Food/Drink,9,Pain Meds,4
Name Something That A Person Might Change Many Times Throughout Their Life.,Hair,31,Clothes,24,Careers,20,Address,9,Last Name,7,Partners,4
"Other Than Clothing Store, Name A Type Of Business You Find In A Mall",Restaurant,49,Shoe Store,25,Jewelry,11,Cell Phone,5,Music Store,4,Pet Store,4
Name Something That Would Be Hard To Steal From A Hotel Room,Television,41,Bed,37,Table,7,Mini Bar,6,Couch,5,Picture,4
Name A Profession Where You Get To Wear Boots All Day,Construction,32,Cowboy,21,Firefighter,18,Army,16,Farmer,4,Police Officer,3
"If You Were In An Eating Contest, Tell Me The Food That Would Be Hardest To Eat Without Breaks For Water.",Bread,33,Spicy Food,26,Crackers,16,Peanut Butter,9,Cake/Pie,8,Pretzels,5
Name Something A Person Does To Warm Up Their Hands.,Rub Them together,75,Put On Gloves,12,Blow On Them,5,Put Under Warm Water,2,Sit On Them,2,Put In Pocket,2
Name A Type Of Sandwich You’d Expect To See In New York City.,Hoagie,43,Ham,15,Cheese Steak,11,Pastrami,11,Meatball,10,Reuben,3
Name A Toy That Might Be Operated By Remote Control.,Car,52,Airplain,28,Boat,11,Tractor,4,Motorcycle,3,Robot Dog,2
Name A Sport That Takes Place In The Water.,Water Polo,63,Swimming,14,Water Ski,8,Marco Polo,7,Diving,2,Sailing,2
Name An Occasion Where Parents Force Their Child To Wear A Certain Outfit.,Wedding,26,Easter,23,Halloween,20,Church,15,Christmas,9,School Picture Day,4
Name Something From The Ocean That You’d Never Find On A Restaurant Menu,Whale,23,Sand/Rocks,21,Star Fish,17,Coral,16,Sea Shells,11,Sea Horse,6
"Name Something You’d Find On A Cruise Ship, But Not On A Regular Boat",Pool,32,Bar/Restaurant,24,Casino,18,Beds,8,Entertainment,7,Staff,4
Name Something That You Don’t Want Your Dog To Chew On Over The Holidays,The Tree,31,Gifts/Gift Wrap,20,Ornaments/Figurines,18,Lights,11,Turkey/Bones,10,Stockings,6
Name A Job In Which You Need To Dress Well In Order To Succeed.,Lawyer,52,Model,15,Sales Person,9,Banker,9,CEO,7,Teacher,4
Name Something That Changes Every Year For A Kid In Elementary School,Teacher,48,Grade,19,Uniform/Dress Code,9,Age,8,Friends,6,Textbooks,4
Name Something Dogs Get More Excited About Than Humans Do.,Bones,31,Dog Food/Treats,24,Their Owner,11,Other Dogs,11,Going For A Walk,7,Toys,7
Tell Me A Man’s Name That Starts With The Letter “T.”,Tom,54,Tim,14,Tony,11,Terry,6,Taylor,5,Travis,3
Name Something People Do When They’ve Lost Their Temper,Yell,56,Throw Things,13,Argue,11,Curse,7,Cry,7,Turn Red,3
Tell Me Something In A Teenager’s Room That They Wouldn’t Want Touched,Diary,34,Music,25,Computer,20,Clothes,11,Magazines,6,TV,3
"In The Bible, Name A Creature Noah Would Have Had The Hardest Time Capturing Two Of For His Ark.",Elephant,31,Lion/Big Cats,27,Snake,15,Birds,11,Shark,8,Whales,5
What Might A Mail Carrier Keep On Hand To Deal With Unfriendly Dogs?,Mace,43,Stick,23,Treats,16,Bone,8,Meat,5,Whistle,3
Name An Actor Who Looks Better Bald,Bruce Willis,42,Vin Diesel,26,Sean Connery,10,Telly Savalis,8,Brad Pitt,7,Danny Devito,4
Name Something That’s More Important To A Teenager Than To An Adult.,Friends/Popularity,43,Clothes,14,Talking On Phone,13,Car/Driving,11,Music,8,Dating,5
Name Someplace A Child Goes That Might Be Traumatic The First Time,Kindergarten,56,Dentist,13,Pediatrician,10,Circus,6,To Get A Hair Cut,4,Daycare,4
Name An Actor Who Often Plays A “Bad Guy”.,Jack Nickleson,27,Al Pacino,19,Clint Eastwood,15,Robert Dinero,13,Christopher Wakin,10,Dennis Hooper,9
Name A Reason Why You Wouldn’t Have Cake On Your Birthday.,On A Diet,43,Allergic,20,Don’t Celebrate,15,Too Old,12,Don’t Like cake,5,Diabetic,3
Name Something People Do With Their Index Fingers,Point,63,Pick Nose,23,Apply Makeup,6,Wear A Ring,4,Scratch,2,Dial A Phone,2
Name A Book You Carry Around To Impress Someone Else.,Religous Scripture,58,Dictionary,21,Little Black Book,6,Daily Planner,4,Atlas,4,Diary,3
Name Something A Teen Might Cover Up So Her Parents Don’t See It.,Hickey,46,Tattoo,24,Piercing,15,Revealing Clothes,6,Make Up,5,Diary,3
Name Something A Housekeeper Should Not Open,Mail,30,Safe/Lock Box,21,Dresser Drawers,16,Jewelery Box,13,Purse/Wallet,11,Diary/Journal,7
Name Something People Associate With An Undertaker.,Death,49,A Casket,20,Black Suit,7,A Funeral,6,A Hearse,6,Dig A Ditch,6
Who Do Many Celebrities Thank After A Win At An Awards Show?,God,51,Fans,16,Parents,15,Partner,6,Producer,5,Director,3
Name Something Kids Like To Throw At Each Other.,Ball,28,Snowballs,17,Water Balloons,17,Toys,13,Food,12,Dirt ,6
Name Something A College Student Might Hide Before His Parents Came To Visit,Beer,46,Dirty Clothes,28,Grades,9,Sweetheart,5,Cigarettes,4,Dirty Dishes,4
How Can You Tell One Car Apart From Another Of The Same Model And Year?,Color,47,License Plate,34,Dents,6,Bumper Stickers,4,Tires,3,Dirty/Clean,3
Name Someone Whose Orders Should Be Followed.,Boss,23,Police,21,Parents,19,President,14,Judge,10,Doctor,9
