Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4
"Name Something About Which Friends Say, “Keep Looking. You Can Do Better.”",Mate,46,Job,29,Clothes,11,Living Space,10
Name A Word Or Phrase You Might Use When Addressing Royalty.,Your Highness,39,Your Majesty,33,Sir,19,Madam,6
Name A Common Mistake People Make When Taking Pictures.,Out Of Focus,49,Put Finger In Lense,22,Leave Lense Cap On,14,No Flash,8
Name A Scent You’d Smell In A Barn,Manure,45,Hay,21,Horses/animals,19,Oil/Gasoline,15
Name A Type Of Food That Could Most Easily Be Turned Into A Heart-Shape For Valentine’s Day.,Cake,34,Cookies,29,Sandwich/Bread,20,Pancakes,14
Name A Summer Picnic Food That Will Make Your Face Messy.,Watermelon,56,BBQ,16,Ice Cream,12,Pie,11
"Name An Animal That Walks On 4 Legs, But Can’t Give Rides.",Cat,46,Dog,44,Cow,4,Pig,3
Name A Profession Where You Might Be Bitten By A Dog.,Mail Carrier,53,Dog Catcher,25,Veterinarian,18,Police,4
Name Something People Associat With Thanksgiving.,Turkey,87,Cranberry Sauce,8,Family Dinner,3,Pumpkin Pie,2
Name Something You’d See In An Office’s Kitchen Area.,Coffe Pot/Mugs,42,Microwave,28,Water Cooler,21,Refrigerator,7
Name A Device That You Keep In Your Bathroom For Grooming Purposes.,Brush/Comb,51,Razor,30,Tweezers,10,Scissors,5
Name Something You Would Do If A Dog Was Chasing You.,Run,59,Scream,31,Climb A Tree,3,Stand Still,3
Name A TV Show About An Island.,Gilligan’s Island,47,Lost,24,Fantasy Island,17,Survivor,11
Name Something That A Pill Bottle Warning Might Tell You Not To Do.,Drive/Heavy Equipment,55,Drink,31,Overdose,8,Take Without Eating,3
Name Something You See The Ground Littered With After The Carnival Has Move On (More Specific Than “Trash”).,Popcorn,41,Food Wrappers,26,Cups/Cans,20,Ticket Stub,8
Name A Complaint People Might Have About Buying Things Online.,Shipping Charges,49,Too Big/Small,26,Fraud,13,`Slow Delivery,8
"Name Something That Kids Are Bummed To Get, But Is Worse To Get As An Adult.",Chicken Pox,43,Cavity/Pulled Tooth,30,Braces,13,Acne,9
Name A Date When You Shouldn’t Break Up With Someone.,Valentine’s Day,48,Birthday,31,Christmas,16,Anniversary,4
"In Action Movies, Name Something The Hero Is Always Trying To Get His Hands On.",Money,33,Leading Lady,28,Gun,20,Bad Guy,15
"Name A Place An Animal Might Take A Bath, But You Never Would.",Lake,51,Mud Puddle,19,Dust,18,Birdbath,12
Name A Type Of Vehicle Where You Usually Sit In The Back.,Limousine,40,Taxi,37,Bus,13,Carriage,6
Name Something You Have To Get A Picture With During A Vacation To Los Angeles.,Hollywood Sign,50,Beach,17,Mickey Mouse,16,celebrity,15
Who Might You Pool Money With To Buy Lottery Tickets?,Friend,33,Relative,24,Partner,24,Co Workers,17
Name Something “Fake” That You Might Give To The Person Hitting On You In A Bar.,Phone Number,49,Name,30,Smile,9,Compliment,3
Name Something “Human” That People Try To Teach Their Dogs To Do.,Speak,46,Walk On 2 Legs,27,Shake,15,Dance,8
Name Something You’re More Likely To See In Australia Than Elsewhere.,Kangaroo,44,Koala,39,Dingo,10,Desert,5
What Are You Advised To To Do When You’re Nervous About Speaking In Front A Crowd?,Picture Crowd Naked,56,Deep Breath,21,Calm Down,13,Drink Water,7
Name A Vacation Spot That A Person With A Fear Of Heights Would Dread.,Mountains,42,Grand Canyon,37,Eiffel Tower,10,Empire State Bldg,9
Name Something People Put In Front Of Their House To Deter Burglars.,Alarm System/Sign,44,Dog,37,Motion Light,8,Fence,6
Name A Term For Someone Who Isn’t Very Generous.,Stingy,45,Tightwad,25,Cheap,13,Greedy,12
Name a common item that’s shaped like a bear.,Plush Toy,34,Cookie/Cracker,30,Honey Container,21,Gummy Candy,12
"In The Grocery Store, How Can You Identify A Penny-Pincher?",Bring Coupons,61,Carry A Calculator,22,Buy Generic Brands,11,How They dress,3
Complete This Sentence. The Key To A Successful Marriage Is ____ing Together.,Sleep,59,Work,15,Talk,13,Laugh,9
Name A Phrase That’s Said In Commercials To Get You To Buy The Product Right Away.,Free Gift,38,Call Now,28,On Sale,20,Limited Time Offer,9
Which subject would most elementary school kids say is their favorite?,Gym,35,English,21,Art,20,Math,20
Name A Job That People Did More 100 Years Ago Than Today.,Farmer,53,Blacksmith,31,Carpenter,7,Miner,7
"During A Party, Name A Part Of Your House Where You Wouldn’t Want To Find Guests Hanging Out.",Master Bedroom,52,Bathroom,26,Kitchen,15,Office,5
Which Word Do You Dread Hearing At The Dentist’s Office?,Cavity,42,Drill,33,Root Canal,14,Oops,7
Name Something Distracting That You Shouldn’t Take With You On A Date.,Cell Phone,58,Another Person,25,Ipod,8,Pet,5
Name A Professional That Charges You For Advice.,Therapist,38,Attorney,31,Doctor,22,Psychic,9
Name Something Black That You Associate With Halloween.,Cat,54,Witch,22,Bats,14,Spider,7
Name A Reason You Might Not Leave The House For An Entire Day.,Sick,54,Bad weather,25,Cleaning/Working,15,Sports/TV,4
Name Something That An Overprotective Parent Might Forbid Their Teen From Doing.,Dating,48,Driving,37,Playing Sports,6,Staying Out Late,6
Name Something A High School Student Might Join In Order To Become More Popular.,Sports,60,Cheerleading,24,Band,8,Student Council,4
Name Something A Person Might Buy To Go With Their Motorcycle.,Helmet,83,Leather Pants,7,Leather Jacket,5,Sunglasses,3
Which Body Part Might A Pirate Need To Have A Doctor Inspect?,Eye,58,Leg,28,Hand/Warm,7,Teeth,4
"Real Or Fictional, Name A Famous Tony",Tony Bennett,33,Tony The Tiger,26,Tony Danza,24,Tony Soprano,11
Name Something You Hope That You’re Still Doing When You’re 80.,Walking/Running,39,Active Love Life,28,Driving,20,Traveling,9
Name A Specific Type Of Math Class Offered In High Schools.,Algebra,50,Geometry,23,Calculus,15,Trigonometry,8
What Are Some Non-Living Thing That You Might See Flying In The Sky?,Airplane,48,Kite,29,Balloons,10,UFO,9
Name Something Batman Doesn’t Leave The Batcave Without.,Batmobile,49,Cape,24,Robin,15,Utility Belt,11
Name A Beverage You Get Re-Filled For Free At Many Restaurants,Soda,48,Coffee,19,Tea,18,Water,12
"Name A Comic Book Hero That Wears A Red, White And Blue Costume.",Superman,50,Captain America,29,Spider Man,11,Wonder Woman,10
What Do Bosses Let Slide On Fridays?,Dress Code,37,Leaving Early,24,Being Late,21,Workload,13
Name something modern a homemaker from 100 years ago would have loved to have in the kitchen.,Microwave,53,Dishwasher,35,Fridge,5,Blender,5
Name something you imagine cavemen gave their girlfriends.,Rock,39,Meat,30,Club,17,Bones,10
Name someone you have a very hard time saying no to.,Kids,44,Parent,35,Partner,14,Boss,5
Name a specific food or drink moms tell their kids to consume so they grow “Big and Strong”.,Milk,59,Spinach,24,Carrots,12,Broccoli,3
Name something you might find in a suitcase that would tell you it belongs to Elton John.,Lots of glasses,69,Music,17,Pictures,5,CDs,3
Name something you might find in a suitcase that would tell you it belongs to Elton John.,Lots of glasses,69,Music,17,Pictures,5,CDs,3
Name something a chauvinist might try to claim that men are better at.,Sports,44,Driving,33,Working,16,Cooking,4
Name the last thing you’d want to happen to you in the airport.,Miss flight,40,Lose luggage,30,Stopped by security,14,Delayed,12
"Other than cowboy,name a profession you often see in cowboy movies.",Sheriff,41,Bartender,37,Rancher,13,Doctor,7
Name a reason why a person might be annoyed that the weather is nice.,At work/school,40,No AC,27,Sick,20,Drought,9
Tell me something that you’d prefer to do with strangers rather than family.,Socialize,44,Date,31,Work,16,Fight,5
Name something that some people are paid to chase after.,Dogs,41,Criminals,37,Storms,12,Footballs/Balls,8
Name a reason why a person who has a car would call a cab.,Been drinking,45,Car trouble,40,Bad weather,6,Going to airport,4
Name the loudest animal in the zoo,Lion,41,Elephant,34,Monkey,19,Gorilla,6
Name something a new Mom spends a lot of time doing.,Breast feeding,39,Changing diapers,35,Feeding with a bottle,12,Holding the baby,9
Name someone who is more popular dead than when they were alive.,Elvis Presley,40,Marilyn Monroe,26,Jesus,18,James Dean,11
Where in your office would make a good place to hide from your boss.,Under desk/table,44,Bathroom,33,Closet/Supply room,18,Kitchen/Staff lounge,3
Name something that women carry more often than men do.,Purse,69,Baby,19,Lipstick,5,Kleenex,3
Name a specific chore that you cannot do without making a lot of noise.,Vacuumming,61,Dishes,16,Laundry,10,Mowing lawn,9
Which doctor do people hate to see?,Dentist,55,Proctocologist,26,Eye,14,OB/GYN,3
Where do you get money that can’t be used to buy anything in the real world?,Board game,51,Casino,22,Arcade,18,Online,7
We asked 100 Married Women: Name something that your husband does that causes him to be too distracted to listen.,Watch TV,48,Read newspaper,22,Use computer,19,Play video games,7
"If the North Pole gave guided tours,what specifically would be on the tour?",Santa’s House,41,Elves/workshop,28,Polar Bears,26,Reindeer,3
"If there were a college for magicians,name a trick that you’re sure would be taught on day one.",Objects disappear,37,Rabbit out of hat,25,Card tricks,19,Saw in half,19
"If a restaurant had the same rules as your kitchen,what would customers need to do for themselves?",Cook,45,Wash dishes,29,Clear table,16,Serve,6
Name something a kid might bury in the backyard.,Toy,60,Pet,18,Money,17,Time Capsule,3
Tell me a good reason to attend your company holiday party.,Food/drinks,36,Presents/bonus,21,Fun,18,To network/suck up,14
"If you heard a thump in the night,which cleaning tool might you grab for protection?",Broom,62,Mop,18,Plunger,12,Toilet Brush,4
"If you were to write a memoir,name a specific topic that would come up a lot.",Love/Marriage,45,Family/Children,27,Childhood,12,Work,7
Name Something That Can Be Spoiled.,Milk,59,Food,18,Kids,14,A Surprise,5
"At The Theater,What Do You Do If The Movie Stinks Within The First 10 Minutes?",Leave,67,Fall Asleep,17,Watch It Anyway,11,Ask For Money back,4
"If You Were Pretending To Be Pregnant, Name Something You Might Stuff Under Your Shirt.",Pillow,72,A Big Ball,15,Towels,6,Balloon,2
Name Something That’s Made With Bananas.,Banana Split,37,Banana Pudding,26,Banana Cream Pie,18,Banana Bread,15
Name Something Valuable That A Baseball Fan Might Collect,baseball Cards,44,baseballs,26,Autographs,22,baseball Gloves,4
"Name Something That Used To Take Up Shelf Space In Your House, But Can Now Be Stored Electronically.",Music,40,Photos,27,Movies,17,Books,12
What Might Your Teenager Do While Borrowing Your Car That Would Break Your Trust?,Accident,37,Speeding Ticket,34,Illegal Activity,16,Break Curfew,11
Name Something That Would Be Harder To Do If You Lived In Los Angeles.,Drive,56,Ski,29,Sleep,7,Breathe,6
"We Asked 100 Men: Name Something You Do On A First Date, That You Wouldn’t Do A Year Into A The Relationship.",Open Door,42,Pay Bills,26,Be Affectionate,23,Bring Flowers,5
What Might Parents Be Caught Doing That Causes Their Kid To Bust Them For Doing Santa’s Job?,Set Gifts Under Tree,41,Wrapping Gifts,33,eating Cookies,20,Buying/Hiding Gifts,3
Name A Gift You’d Be Likely To Get As A House Warming Present From Your New Neighbors.,Plant/Flowers,40,Dessert,38,Wine,15,Candle,6
Name Something You Need To Have Along For An Effective Grocery Store Trip.,Shopping Trip,47,Money,44,Coupons,4,Cart,3
Tell me a boy’s name that starts with “Ch”.,Charles/Chuck,42,Chris,34,Chad,12,Chandler,4
What Might An Obsessed Lover Do That Causes His Partner To Break Up With Him?,Stalk,40,Call Too Much,33,Clingy,21,Check Cell Phone,4
Name A Food With Cheese That’s A Childhood Favorite.,Pizza,43,Grilled Cheese,27,Macaroni,21,Cheeseburger,7
Name Something You Associate With Old McDonald. (Be More Specific Than Animals),Farm,36,Pig,6,Cow,5,Chick,2
Name An Occupation That People Consider Caring.,Nurse,46,Doctor,24,Teacher,14,Childcare Provider,13
"Besides Syrup, Name Something Kids Love To Put On Their Pancakes.",Butter,61,Jelly,16,Berries,13,Cinnamon,6
"If You Boil You Veggies Too Long, Name Something They Lose.",Vitamins,45,Flavor,29,Firmness,15,Color,6
Name Something You’re More Likely To See In Australian Than Elsewhare.,Kangaroo,44,Koala,39,Dingo,10,Desert,5
"Name A Sport That Should Be Part Of The Olympics, But Isn’t.",American Football,56,Golf,27,Bowling,9,Dodgeball,3
Name Something Kids Might Try To Get Away With At A Sleepover,Staying Up Late,51,Sneaking Out,31,Eating Junk Food,9,Drinking,4
What Do People Miss Most About College Once They Get A Job?,Partying,44,Friends,30,Freedom,14,Financial Help,9
Name A Romantic Gift For A Woman That Her 2-Year-Old Might Be Jealous Of.,Candy,37,Stuffed Animal,35,Jewelry,15,Flowers,11
Name An Event In Your Life Where You’d Be Unhappy If No One Showed.,Wedding,52,Birthday,34,Graduation,9,Funeral,5
Name A Type of Greeting Card That You See A Lot Of In The Spring.,Easter,48,Mothers Day,25,Wedding,12,Graduation,11
Tell Me A Reason People Get Married,In Love,41,Pregnant,34,Stability,20,Green Card,3
Name Something A Man With Very Little Hair Does To Make It Look Like He Has More,Comb Hair Over,59,Wear Hairpiece,34,Dye Different Colors,4,Grow It Long,3
Something About A Person That Cosmetic Surgery Can’t Fix.,Personality,65,Hight/Stature,14,Eye Color,11,Hair,6
Name A Reason Why You Might Offer Your Bus Seat To Someone Else.,Elderly,56,Pregnant,26,Disability,10,Hands Full,6
Name A Reason Why A Restaurant Might Refuse Service To Someone,Not Dressed Properly,59,Drunk,22,Belligerent Attitude,6,Has No Money,6
Name Something You’re Told To Turn Off Before An Airplane Takes Flight,Cell Phone,60,Computer,22,Lights,9,Headphones,5
Name Something You Do After Getting A Bad Haircut,Cry,66,Wear A Hat,22,Complain,8,Hide,3
Name Something A Woman Might Wear To Appear More Professional.,Business Suit,54,Dress/Skirt,20,Glasses,15,High Heels,11
Name Something That Is Smaller In Europe Than In The US.,Cars,41,Waistlines,20,Countries,16,House Size,14
Name Something A Child Says When They Do Something Wrong,I’m Sorry,56,Whoops,23,Uh Oh,12,I Didn’t Do It,8
Name Something You’re Not Supposed To Do While Filling Your Gas Tank.,Smoke,48,Talk On Cell Phone,24,Walk Away,15,Leave The Car On,9
Name Something That Lives In A Cave,Bear,67,Bat,24,Caveman,2,Lion,2
Name A City Where You Would Expect To Pay A Lot For A Hotel.,New York City,52,Las Vegas,31,Paris,8,Los Angeles,7
Name Something Scientists Wear In The Lab,Lab Coat,78,Lab Goggles,15,Gloves,3,Mask,2
"If Santa Had A Twitter Account, Who Might Be An Avid Follower Of It?",Kids,35,Elves,31,Reindeer,25,Mrs Claus,8
Name An Occupation In Which You Might Adopt A Fake Name,Detective,53,Actor,28,Dancer,9,Musician,6
Name Something You’d Worry About If You Were To Host A Dinner Party For Your In-Laws,Taste Of Food,56,Clean House,20,Conversation,15,Outfit,7
What Would A Car Thief Hate To Find In The Backseat Of The Car He’d Just Stolen?,Child,55,Dog,25,Police Officer,13,Owner,5
Name A Food That’s Often Served With Wine,Cheese,48,Meat,26,Bread,21,Pasta,3
Name the worst thing for a circus performer to be afraid of.,Heights/falling,51,Animals,23,Clowns,15,Performing,8
Name Something That Can Make A Person Suddenly Think Of Their Partner.,Song,59,Smell,14,Movie,13,Picture,12
Name A Type Of Shoe That Would Be Hard For A Tightrope Walker To Perform In.,High Heels,50,Boots,28,Sandals,13,Platform Shoes,5
Name Something You’d Hate For Your Car To Bump Into In A Parking Lot.,Another Car,42,Pedestrian,25,Shopping cart,18,Pole/Sign,13
Name A Place You Might See A Balcony,House,53,Hotel,34,Theater,6,Restaurant,3
Name A Singer Who Became Famous As A Child,Michael Jackson,52,Brittney Spears,25,Donny Osmond,13,Shirley Temple,8
Name Something A Co-Worker Might Blame On Not Having Had Their Morning Coffee.,Grumpy,50,Tired,32,Being Late,11,Slow,6
Name Something Annoying That Some Dogs Do When Greeting You.,Lick You,45,Bark,27,Jump On You,17,Sniff You,6
"Instead Of Walking, Name A Way To Get Around In Snowy Weather",Ski,28,Sled,27,Car,23,Snowmobile,20
Which Sesame Street Character Must Get Uncomfortable In Their Costume?,Big Bird,61,Oscar The Grouch,23,Cookie Monster,9,Snuffy,5
Name Something That You Dread Doing After A Break-Up,Dating Again,47,Seeing Your Ex,20,Crying/Loneliness,17,Sorting Belongings,13
Name Something Kids Would Play With Outside In Summer.,Ball,45,Pool,26,Bike,13,Sprinkler/Hose,13
Name Something You Hope Your Dentist Has Done Before He Starts His Exam.,Wash Hands,71,Put Gloves On,14,Gone To School,6,Sterilized Equipment,5
Name Something On You That Might Be Tied In A Knot.,Shoe Laces,48,Hair,17,Tounge,16,Stomach,12
Name Something That’s Conducted,Performances,50,Train,26,Electricity,15,Survey,9
Name something that the human body has more than 2 of.,Digits,42,Bones,21,Hairs,19,Teeth,15
Tell me something that you hope is easier to do the second time around.,Marriage,47,Having a baby,32,Cooking/Recipe,11,Test,8
Name A Synonym For Marriage That Doesn’t Make It Sound Fun.,Ball And Chain,57,Tie The Knot,23,Hitched,12,Tied Down,3
Name Something You Might Replace If You Are Remodeling Your Bathroom,Toilet,32,Sink,29,Bathtub,25,Tiles/Floor,12
Name Something People Donate To Charity During The Holidays,Food,29,Money,28,Clothing,24,Toys,18
What Are 2 Brothers Most Likely To Fight Over?,Girls,45,Toys,35,Clothes,8,TV,8
Name Something People Do To Lower Their Temperature When They Have A Fever,Cold Bath,34,Medicine,28,Cold Washcloth,26,Use Ice,7
Name Something The Average Person Might Have To Do If They Wanted To Be A Sumo Wrestler.,Gain A Lot Of Weight,59,Train,19,Work Out,14,Visit Japan,8
"If Your Purse Was Stolen, Tell Me The One Thing In It That Would Be Hardest To Replace.",Pictures,56,Drivers License,26,Credit Cards,7,Wallet,7
Name A Reason Why A Kid Might Not Wear His Ordinary Clothes To School.,They’re Dirty,33,Picture Day,29,It’s Halloween,24,Wear’s A Uniform,9
Name A Food Or Drink That Makes A Sound The First Time Its Container Is Opened.,Soda,59,Beer,27,Chips,5,Wine,4
Name Something You Do To Let A Friend Know She Has Food On Her Face.,Tell Her,48,Point At It,31,Giggle/Tease Her,13,Wipe Your Own face,6
"In A Conversation With The World’s Most Boring Person, Name A Subject That Would Surely Come Up.",Politics,32,Weather,27,Books,17,Work,13
Name A Thanksgiving Food That Often Comes From A Box Or Can.,Stuffing,44,Cranberry Sauce,31,Corn,16,Yams,8
Tell Me The Age Of A Woman That Is Too Young To Be Dating A 50 Year Old Man,20,43,18,20,25,14,30,9
Name Something Found In The Garden Of Eden,Apple,68,Snake,15,Tree,9,Adam & Eve,7
Name Something In Your House That You Might Hear In The Middle Of the Night And Mistake For A Burglar.,Pet,55,Refrigerator,35,Creaky Door/Window,7,Another Person,4
Name Something Most People Start To Get By The Age Of 35,Gray Hair,43,Wrinkles,39,Fat,12,Bald,4
"Real Or Fictional, Name A Famous Outlaw",Jesse James,49,Billy The Kid,26,Jesse Wales,15,Bonnie/Clyde,6
Name Someone Specific In Your Life Who Has Tried To Set You Up On A Blind Date.,Best Friend,41,Sister,31,Mother,20,Brother,4
Name A Restaurant Job That A Stay-At-Home Parent Does For Free All The Time,Cook,78,Dishwasher,12,Server,4,Busser,4
Name Something That A Very Tall Person Might Hit Their Head On In An Unfamiliar House.,Doorway,44,Ceiling,26,Light Fixture,17,Ceiling Fan,10
Name A Fact About A New Boyfriend That A Woman Might Wait To Tell Her Parents.,His Age,46,His Job,21,Old Relationships,18,Criminal Record,6
Name Something A Man Might Do All Day Long If His Wife Let Him,Watch Sports,36,Watch TV,25,Sleep,23,Eat,11
Name A Mood-Setter In Your Home That You Pay More Attention To If You Are Trying To Impress A Date.,Music,44,Candles,33,Lighting,29,Food,3
Name A Place Where A Man Might Be A “Regular Customer.”,Bar,40,Restaurant/Coffee Shop,21,Barber Shop,21,Gentleman’s Club,16
Name Someone Who You’d Hate To Accidentally Forward A Personal Email To,Boss,59,Parent,25,Ex,10,Grandparent,4
Name A Part Of You That Looks Different When You’re Sick,Skin,44,Eyes,34,Nose,18,Hair,3
Name An Article Of Clothing That Is Usually Only Worn By Men,Boxers,41,Jock Strap,27,Tie,18,Jacket,10
Name A Street That You’ll Find In Almost Every City In America,Main,75,Elm,9,Martin L King,7,Maple,4
Tell Me Someplace People Might Go Right After Work On Friday,Bar,70,Home,10,Restaurant,8,Movie,8
Name Something You’d Be Surprised To Find That A Frat Party Had None Of,Beer,53,Food,23,Girls,16,Music,4
What Would The Chatterbox Next To You Keep You From Doing On An Airplane?,Sleeping,69,Reading,15,Getting A Word In,7,NMusic/Movie,4
Name Some Things That Annoy You In Public Places Such As Restaurants,Smoking,37,Cell Phone,24,Kids,14,Noise,13
Name Something You’d Have To Get Used To If You Were A Zoo Animal,Being In A Cage,72,Feeding Time,14,People Looking At You,9,Noisy Children,4
Name Something That A Person Might Consume Every Morning In Order To Stay Healthy.,Vitamins,34,Milk,31,Fruit,17,Orange Juice,16
"If You’re Going To Do Your Own Taxes, Name Something You Probably Need",Computer/Calculator,41,Forms,25,Records,21,Pencil,8
Name Something Gentlemen Used To Do For Ladies That They No Longer Bother With.,Open Doors,78,Bring Flowers,10,Pay Bills/Dinner,4,Pulling Out Chair,3
What Are Some Reasons That A Racecar Driver Might Lose A Race?,Crash,47,Flat Tire,26,Drives Slow,14,Ran Out Of Gas,10
Name A Famous Roger,Roger Rabbit,28,Roger Moore,27,Roger Ebert,23,Roger Clemens,7
Name Something You Do Right Before Your Picture Is Taken,Smile,54,Pose,12,Brush Hair,11,Say Cheese,10
Name Something You Can Buy In A Cordless Version,Telephone,74,Shaver,10,Drill,8,Screwdriver,3
Name A Reason You Would Go To Grandma’s House For Dinner Instead Of A Restaurant.,Home Cooking,41,Holiday,30,Free,22,See Family,6
Name Something The Stars Eat That You Probably Would Not Find In Middle America.,Sushi,40,Caviar,32,Escargot,14,Tofu,12
"Although Some Consider It Paradise, Name A Downside To Living In Hawaii",Volcanoes,35,Rain,31,High Cost Of Living,25,Too Many Tourists,5
Name A Reason A Mailman Might Have A Bad Day On His Route,Attacked By A Dog,52,Bad Weather,39,Traffic,5,Too Much Mail,4
Tell Me Something That Makes Some Bugs More Annoying Than Others,Bite/Sting,42,Buzzing,36,Ability To Fly,12,Traveling In Swarms,7
Name A Reason That A Child Might Get Taken Out For Ice Cream (More Specific Than “Good”).,Good Grades,42,Birthday,26,Good Behavior,20,Upset,8
Name Something Children Might Get Rewarded For,Good Grades,45,Chores,35,Good Behavior,12,Using The Toilet,6
Tell Me A Special Day That You Wish Lasted Longer Than 24 Hours,Christmas,44,Wedding,42,Birthday,7,Valentines Day,5
"When Scuba Diving, Name Something You Have To Wear To Make Yourself More Like A Fish.",Flippers,56,Goggles,20,Oxygen Tank,14,Wetsuit,6
Name A High School Subject Kids Might Take To Get An Easy “A.”,Gym/Health,47,Home Economics,26,Art,11,Wood Shop,10
"Other Than Sitting And Watching, Name Something People Do In Front Of The TV.",Eat,58,Sleep,26,Dance,9,Yell,3
"If You Saw Your Love Interest Unexpectedly, Name A Specific Reason You’d Avoid Them.",Your Shy,34,Your Cheating,26,You Look Bad,23,Your Sick,14
How Many Times Does The Average Person Let A Phone Ring Before Answering It? (Numeric Only),2,57,3,36,5,4,6,2
We Asked 100 Wives: What Percent Of The Housework Does Your Husband Do?,10,41,0,29,25,15,50,11
Name A Cartoon Movie That Features Animals As The Main Characters.,Lion King,43,Finding Nemo,29,Bambi,12,101 Dalmations,8
Name A Letter Of The Alphabet That Is Also A Vitamin?,C,39,E,26,B,18,A,15
Name A Famous Aaron? (Erin?),Hank Aaron,32,Aaron Spelling,32,Erin Brokovich,28,Aaron Burr,3
What Information About A Woman Might A Man Keep In His Little Black Book?,Phone Number,43,Name,32,What Dhe Looks Like,13,Address,7
Tell Me Something About A Couple That Would Lead You To Believe They Spend Too Much Time Together.,Dress Alike,31,Argue,27,Finish Sentences,25,Affectionate,15
"Name Something A Friend Should Never Ask About, No Matter How Well They Know You",Romantic Life,32,Weight,30,Financial Situation,25,Age,12
Name A Place Where You Hate To Get Stuck,Traffic,48,Elevator,34,Work,11,Airport,5
How Might A Snowman Lose Some Of Its Accessories?,Melt,51,Wind,34,Stolen,7,Animals Eat Them,4
"If You Run Into A Bear In The Woods, Name Something You Should Not Do.",Feed It,46,Fight It,27,Pet It,14,Approach It,11
"What Do You Do When Someone Says Hi, But You’re Sure You’ve Never Met Them?",Say Hi Back,49,Just Smile,36,Ignore Them,10,Ask Who They Are,4
Why Might A Person Only Be Allowed A Limited Number Of Phone Calls?,In Jail,51,Too Expensive,30,Grounded,8,At Work,7
Name A Book That Students Keep On Hand For Reference.,Dictionary,56,Encyclopedia,22,Thesaurus,13,Atlas,6
Name A Reason You Might Suspect That Your Roommate Is Turning Into A Vampire.,Grows Fangs,33,Likes Blood,26,Sleep Schedule,22,Avoids Sun,17
Name The Softest Thing In A Baby’s Room.,Blanket,57,Stuffed Animal,17,Pillow,15,Baby’s Skin,7
In Which Profession Would It Be Easiest To Get Away With Wearing Sweat Pants?,Gym Teacher/Coach,51,Personal Trainer,39,Janitor,3,Babysitter,3
"With Regard To Dating, Name Something Moms Warn Their Sons To Avoid",Becoming Intimate,40,Greedy Girl,25,Becoming A Father,24,Bad Girls,6
Name A Food New York Is Famous For.,Hot Dogs,36,Pizza,35,Cheesecake,15,Bagels,8
"Past Or Present, Name A U.S. President Who You Wouldn’t Mind Having A Beer With.",Bill Clinton,44,George W Bush,23,John F Kennedy,17,Barack Oboma,6
"Name Someone, Past Or Present, Who Is Known For Hosting A Children’s Television Program",Mr Rogers,43,Bill Cosby,23,Captain Kangaroo,16,Barney,10
Tell Me Which Of The 7 Dwarfs Would Have The Hardest Time Finding A Date.,Grumpy,44,Sleepy,26,Dopey,15,Bashful,8
Name Something A Dog Owner Might Pay Someone To Do To Their Dog?,Groom It,45,Walk It,38,Feed It,7,Bathe It,6
Name A Place Where Hot Dogs Are Often Served.,Sporting Event,50,Carnival,32,Street Corner,9,Beach,5
Name Something You Try To Prevent From Getting Flat.,Tire,40,Hair,33,Soda,20,Beer,5
Name Something In Your Garage That Might Be Mistaken For A Snake In The Dark.,Garden Hose,56,Rope,19,Electrical Cord,13,Bike Chain,8
Name A Reason Why You Might Use Candles.,Electricity Went Out,80,Romance,6,Lightbulb Burned Out,5,Birthday Cake,5
Name Something You Might Wash Everyday,Hands,28,Hair,25,Face,22,Body,20
Name Something People Catch.,Illness,41,Fish,36,Balls,15,Bouquet,3
Name Something A Person Might Be Told To “Hang Up.”,Phone,51,Jacket/Clothes,29,Bad Job,5,Boxing Gloves,3
"With Eyes Closed, Name Something About A Man’s Mouth That A Woman Kissing Him Could Use To Identify Him.",Facial Hair,44,Size Of Lips,25,Smell,19,Braces/Teeth,10
Name Something A Man Does To Groom Himself,Shave,60,Comb Hair,23,Shower,11,Brush teeth,4
"If A Health-Nut Ordered A Sandwich, What Ingredient Might They Leave Off?",Mayo,40,Cheese,31,Meat,21,Butter,4
Name Something People Do To Their Food That Makes It Unhealthy,Add Salt,46,Fry It,33,Put Sugar On Top,9,Butter It,8
Name Something Some People Jump Out Of,Airplane,49,Bed,26,Boat,12,Cake,9
Name Something Everybody Knows About Turkeys.,Gobble,47,Thanksgiving,25,Tast Good,22,Can’t Fly,3
Name Something You Lie To Your Boss About.,Sick/Absence,52,Lateness,39,Resume/Expeirience,3,Can’t Work Overtime,2
"Name A Coffee Drink People Order While They’re Out, But Can’t Make At Home",Late,62,Esspresso,17,Mocha,10,Cappuccino,10
Name Something That People Today Probably Wash More Than They Need To.,Hair,36,Clothes/Pants,31,Hands,15,Car,13
Name A Type Of Reservation That Often Gets Lost,Hotel,46,Dinner,29,Plane,21,Car Rental,3
Name A Game Teenagers Play At Parties,Spin The Bottle,69,Twister,10,Quarters,8,Cards,8
Name A Complaint People Might Have About Their Teeth,Not White Enough,58,Hurt,17,Crooked,13,Cavity,7
Name Something In Their Home That An Extremely Organized Person Might Alphabetize.,Books,51,Movies,19,Food,16,CDS,12
"If Santa Claus Had To Enter The Witness Protection Program, Name Something He Might Do To Disguise His Appearance.",Shave,53,Lose Weight,24,Dye His Hair,12,Change Clothes,8
