Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5
Name A Type Of Poster A 13-Year-Old Boy Might Have On His ,Movie/TV Star,20,Their Favorite Band,14,Sports,12,Pro Wrestling,7,Superhero,4
Name An Occasion That Dracula Is Almost Always dressed For,Halloween,54,Funeral,18,Formal Dinner,16,Costume Ball,5,Wedding,5
Name Something In Your car That Can Be turned On And Off,Radio,26,Engine,24,Lights,22,Heater/Ac,12,Wipers,5
Name Something That gets fueled,Car,57,Planae,25,Fire,7,Anger/Temper,5,Body,3
Name A type Of Work Vehicle That’s Often seen As A Children’s Toy,Dump Truck,43,Fire Engine,34,Tractor,10,Police Car,6,Bull Dozer,3
Name A reason You Might Be Less Productive Then Usual At Work,Tired,40,Sick,25,Hung Over,12,Stressed,6,Computer Trouble,3
Name Something A Parent Might Put A Lock Or Gate On Once Their Baby Learns to walk,stairs,40,Door,26,Swimming Pool,11,Cabinets,10,Crib,6
Name Something Kids Start To Care More About Once They’re Teenagers,Looks,38,Clothes,23,Dating,13,Money,12,Driving,5
Name something Specific A Married Couple Might Take Turns Doing,Dishes,42,Cooking,27,Laundry,10,Watching Kids,8,Driving,4
"Other Than Gambling, What Do Casinos Have Inside To Get Customers To Stick Around",Cocktails,45,Food,33,Bright Lights,6,Beautiful Women,6,Entertainment,4
"Name something Many Women Regularly Buy For Their Husbands, But Men Don’t Buy For Their Wives ( More specific Then Clothes)",Underwear,38,Socks,26,Cologne,15,Tools,12,Groceries,8
"Name Something You’re Better Off Spending A Little More On, So It Lasts Longer",Car,44,Clothes,29,TV,15,House,7,Haircut,3
Name A Place You Would’t Want To Be Alone At Night,Alley,37,Graveyard,16,Woods,16,Park,16,Home,12
Name A Word that people Yell At The TV While watching A Football Game,Go,39,Run,25,Touchdown,13,Foul,5,Idiot,3
What Do You Do To Help Out The Less Fortunate At The ,Give Money,44,Donate Canned Goods,24,Serve Meals,12,Donate Toys,8,Invite To Dinner,4
Name Something You’d Expect To Pay For At Disneyland,Food,38,Admissions,28,Souvenirs,6,Toys,5,Parking,2
Name Something That Can Be Easily Be turned Off,Lights,45,TV,36,Oven Radio,6,Radio,6,Partner,5
Name A reason Why A Dog Barks,Stranger At Door,43,Hungry,18,Sees A Cat,16,Hears A Loud Noise,10,Sees Another Dog,7
What Might You See On The Side Of The Road,Roadkill,40,Garbage,16,Hitchhiker,14,Trees,13,Sign,8
Tell Me A Reason You Like To Shop On Line,Easy,35,Cheaper,27,No lines,18,Faster,10,Stay At HOme,6
"When Shopping For A New Pair Of Jeans, Name Something that Never Fits Quite Right",Waiste,34,Length,28,Backside,20,Hips,7,Thighs,6
Name Something Every College Freshmen Will Spend Money On,Books,41,Food,21,Beer,17,Computer,8,Tuition,3
Name A Household Chore That You Do Less Frequently Because It’s Barely Noticeable When It’s Done,Dust,39,vacuum,25,Sweep,13,Mop,1,Wipe Windows,10
What occupation Might Someone Have That Makes You Think They’d Have A Flair For Romance,Wedding Planner,19,Match Maker,18,Actor,16,Dancer,16,Writer,15
"If There Was No Speed Limit, How Fast Would You Drive On The Way To Work each Morning (Round To Ten)?",100MPH,30,80 MPH,29,70 MPH,19,90 MPH,11,60 MPH,8
Name Something That Makes A Startling Sound,CAR HORN,43,GUN SHOT,18,THUNDER,17,SIREN,12,ALARM,7
Name A Place Where It’s Okay To Be Loud,Concert,48,Outdoors,16,Bar,14,party,11,Athletic Event,9
Name Something Naughty That A Grandpa Might Secretly Let His grandson get Away With,Looking At girls,26,Sipping Beer,22,Eating Sweets,21,Staying Up Late,20,Bad Language,8
Name Something You Use To Cover Up Bad Smells In Your House,Air Freshener,48,Candles,38,Perfume,6,Incense,3,Baking Soda,3
Name Something A Man Might Do In The Beginning Of A Relationship That He Won”t Do After About A Year,BUY FLOWERS,47,OPEN DOORS,29,KISS,9,HOLD HANDS,7,BE NICE,5
Name A Reason You May leave A Blind Date Without Saying Goodbye,Not Attracted,35,Rude,29,No Sparks,16,Bad Breath,14,Boring,4
Tell Me Something A Woman Might Do To Spoil Herself (More Specific Than “Spa”,Shopping Cart,38,Manicure,24,Hair Salon,20,Massage,11,Bubble Bath,6
Name A Place Where You Can See Teachers Relaxing,TEACHERS LOUNGE,58,BARTENDER,12,HOME,9,LIBRARY,8,CAFETERIA,6
name Something restaurants Have In Them To Appear Fancier,Table Linens,33,Fancy Food,28,Candles,20,Wine List,9,Chandelier,8
Tell Me A Food That Goes Great With Beer,Pizza,40,Nuts,22,Pretzels,17,Chips,14,Chicken Wings,4
Who Would A Bride Not Want To Show Up Unannounced At Her Wedding?,Ex,33,Enemy,22,Boss,16,Affair,12,Cops,4
"Name A Specific Task Restaurant Staff Does For You, That You’d Be Surprised To Get Charged Extra For",Bring Water,51,Refill glasses,27,Serve Food,10,Clear Table,5,Dishes,5
Name Someone Who’s Known For Inventing Something,Albert Einstein,32,Thomas Edison,32,Ben Franklin,18,Alexander Graham Bell,13,Eli Whitney,3
Name Someone You’d Hate To Show Up Late At Your Wedding,Groom,36,Bride,35,Clergy,17,Best Man,6,Father,5
name Something Every Woman Should Take With Her On A Blind Date,Cell Phone,44,Money,21,Mace,12,Own Transportation,4,Friend,4
Why Might A Bride Or Groom Back Out Of Wedding At The Last Minute,Cold Feet,69,Cheating,13,Not In Love,9,Not Ready,4,Had A Fight,3
Name Something You Might bring Home With From The Mardigras,Beads,53,Mask,24,Pictures,8,Food,7,Hangover,6
Name Something A Lot Of Movie Stars Have More Than One Of,Cars,65,Houses,12,Spouses,11,Affairs,5,Kids,4
Name Something Kids Are Afraid To Get From Their Teacher,Bad Grade,43,Detention,25,Homework,17,Test,6,Letter Sent Home,6
"Name One Word You’d See On The Cover Of A Women’s Magazine, But Probably Not On A Magazine For Men",Sexy/Hot,33,Makeup,25,Diet,24,Fashion,8,Love,7
"Name Something People Use To Smell Good, But You Wouldn’t Use To Eliminate You Dog’s Odor",Perfume,41,Deodorant,39,Lotion,9,After Shave,6,Mouth Wash,3
Name Something People Juggle,Balls,38,Bowling Pins,23,Fruit,16,Job and Home/Duties,8,Multiple Dates,4
Name Something Every Newlywed Hopes Their Mother-In-Law Will Be,Quiet,16,Good Cook,10,Not Nosey,8,Lives Far Away,5,Nice,5
What One Thing Would You Most Hate To Forget To Pack On A Trip,Clothes,34,Toothbrush,30,Money,21,Camera,9,Passport,4
Name Something About Peter Pan That Is Different From The Average Boy,He Can Fly,65,Wears Tights,13,never grows Up,10,Small,3,Pointy Ears,3
What Is The Best Way To Spend A Snow Day,Sleeping,41,Sledding,28,Skiing,16,Watching TV/Movies,6,Reading,6
What Might You See In An Email That Would Make Yo Think A Teen Wrote It,Internet Acronyms,41,Slang,31,Misspelling,13,Swearing,7,Smiley Face,5
Name something People Try To recite Lines From,Movies,31,Poetry,22,Play,19,Religious Scripture,14,Songs,12
Name Something A Person trying To Quit Smoking Might Put In Their Mouth,Chewing Gum,75,Candy,10,Pencil,4,Nicorette,4,Straw,2
Name Something In A Person’s House A Burglar Wouldn’t Want To Steal,Pet,31,Food,21,Underwear,19,Laundry,16,Trash,11
What Do cats Have the We Don’t Have?,Tails,28,Claws,25,Fur,22,Paws,16,9 Lives,7
Name Something Men Put In Their Shirt Pockets,Pen/Pencil,59,Money,12,Handkerchief,6,Glasses,5,Cigarettes,5
"Name Something You Might Do In Front Of A Doctor, But Not In Front Of Most People You’ve Just Met",Undress,55,Cry,17,Discuss Heavy Issues,8,Stick Out Tongue,7,Cough,6
"Besides Ice Cream And Popsicles, Name Something You Need To Be A Neighborhood Ice Cream Man",Ice Cream Truck,59,Music,19,Cones,9,Freezer,8,Friendly Personality,5
Tell Me A Name People Use To Describe Someone Who Talks To Much,Babbermouth,39,Big Mouth,31,Motormouth,23,Chatterbox,4,Gossip,3
Tell Me A Breakfast Item That Only Tastes Good If It’s Crispy,Bacon,46,French Toast,29,Cereal,18,Waffles,3,Hash Browns,3
Name A Sport Where You Might See A Lot Of Athletes,Football,61,Basketball,14,Baseball,11,Soccer,10,Hockey,2
Name Something For Which A Police Officer Might Give You A Ticket.,Speeding,53,Parking,28,Running Red light,6,No Seatbelt,4,Jaywalking,3
"Name A Halloween Costume You See On Babies, But Rarely See On Their Parents",Pumkin,67,Bunny,12,Clown,6,Angel,5,Princess,4
Tell Me Something You Avoid When You Are Sick,Other People,34,Other People,29,Eating,25,Alcohol,5,Smoking,5
"On A Dating Website, What Activity Do People Often List As A Pastime",Reading,43,Sports,19,Dancing,14,Hiking,10,watching movies,5
Which Physical Characteristics Would Tell You That Someone Was Part Alien?,Big Eyes,29,Green Skin,26,Big Head,18,Small/Pointy Ears,17,Antenna,7
Name An Occupation In Which People Often Use Their Middle Name Or Initial.,Doctor,51,Lawyer,25,Actor,15,Politician,5,Author,4
Which Website Would You Go To First If You Want To Find Out More About Something,Google,56,Yahoo,20,Wikipedia,10,Ask.com,8,Bing,3
Name Something Annoying That Cats Do.,Meow,42,Scratch,41,Lick Themselves,8,Shed,4,Bite,3
Name Something Associated With Melanie Griffith.,Movies,36,Actress,21,Antonio Banderas,20,Don Johnson,14,Blonde Hair,7
Name Something That Might Take Place In A Large Tent.,Circus,51,Party,17,Wedding,14,Church,11,Camping,7
Name A Way People Choose The Lottery Numbers They Play.,Birthdates,74,Quick Pick,10,Social Security,4,Random,4,Dreams,2
"Name Something A Bankrobber Wants To Get Rid Of Quickly, So It Isn’t Used As Evidence.",Weapon,32,Mask,29,Car,15,Bags Of Money,13,Gloves,8
Tell Me Something A Wife Likes To Hear From Her Husband.,I Love You,65,Compliments,23,Missed You,2,Want Breakfast In Bed,2,I Got A Raise,2
Tell Me A Way In Which Your Office Is Kind Of Like A “Soap Opera.”,Gossip,46,Sleeping Around,34,Drama,9,Bickering,4,Jealous,2
Name Something That Expands In The Microwave.,Popcorn Bag,48,Bread,13,Hot Dog,13,Plastic,13,Marshmellow,11
Name A Place Where The Average Person Wouldn’t Last A Day.,Jail,43,Desert,24,Military,13,Frozen Tundra,11,Outer Space,6
Name Something Teenagers Stress Out About.,School,38,Acne/Looks,23,Dating,17,Friends/Clique,14,Parents/Rules,6
Name Something Important That You’re Careful Not To Misplace When You Move.,Keys,42,Passport,25,Wallet/Money,18,Jewelery,8,Phone,5
Name An Occupation Where The Workdays Are Made Worse By Nasty Weather.,Construction,41,Mail Carrier,27,Traffic Cop,16,Bus/Truck Driver,11,Pilot,3
What Kind Of Bread Would Be Horrible For Making A Sandwich?,Banana,33,Garlic,25,Cinnamon Raisin,19,Cornbread,11,Pumpkin/Zucchini,6
Name Something You Might Find In A Tennis Bag.,Tennis Balls,62,Racquet,32,Towel,5,Tennis Shoes,3,Socks,2
Name A Vegetable That They Make Baby Food Out Of.,Carrots,41,Peas,39,Beans,8,Corn,4,Spinach,2
Name An Organ People Might Have Removed.,Kidney,43,Appendix,26,Gall Bladder,12,Lung,8,Spleen,5
Name Something That Keeps You From Finishing A Jigsaw Puzzle.,Missing Piece,46,Time,33,Difficulty,7,Kids,6,Boredom,5
Name Something That Happens To The Furniture Of A Person Who Owns Pets.,Many Scratches,30,Strong Smells,28,Hair All Over,25,Lots Of Stains,4,Chewed Up,4
Name Something That A Waitress On Roller Skates Would Say Is Her Mortal Enemy. (More Specific Than Food/Drinks),Rocks,32,Wet Floor,26,Hot Coffee,18,Cracks/Bumps,13,Condiments/Dressing,7
Name Something You Buy In A Larger Size If You Have A Large Family.,Groceries,29,Toilet Papaer,27,Car,20,House,15,Couch,4
Name Something You Might Change When Moving Into A New House.,Paint/Wallpaper,34,Carpet,23,Contact Information,17,Locks,16,Curtains,9
Name Something That Gets Described As Festive,Party,45,Holiday,36,Food,9,Carnival,4,Decorations,3
Name Something On Everyone’s Driver’s License.,Birth Date,34,Name,25,Address,18,License Number,13,Description,10
Name A Salad That’s Not Green.,Pasta Salad,47,Potato Salad,33,Fruit Salad,9,Taco Salad,5,Egg Salad,4
Name Something People Turn On Just Before They Get In Bed.,Alarm,50,TV,24,Lamp,12,Radio,7,Electric Blanket,4
Name Something You Might Ask A House Sitter To Do While Staying At Your Place,Clean,36,Water Plants,33,Feed Animals,8,Take Out Trash,8,Get Mail,7
Name A Specific Item That A Man Carries Around That He Might Secretly Wish He Could Just Put In A Purse.,Wallet,63,Keys,14,Phone,12,Comb,5,Glasses,3
Name A Place Where It’d Be Rude For A Man To Go Without Wearing A Suit/Tuxedo.,Wedding,48,Funeral,21,Prom,12,Place Of Worship,11,Job Interview,3
"In One Word, What’s The Best Thing About Being Married?",Love,44,Intimacy,34,Companionship,10,Money/Security,6,Kids,3
What Might You Find Out About A House That Would Make You Back Out Of Buying It.,Haunted,38,Termites,28,Mold,18,Price Went Up,6,Leaky Roof,5
Tell Me Something That Can Momentarily Blind You.,Sun,52,Bright Light,30,Camara Flash,11,Pepper Spray,4,Love,3
Name Something That Love Gets Compared To In Pop Songs.,Flower,24,Candy,23,Battlefield,19,River,18,Music,10
Name Something A First-Time Parent Would Need To Do Before The Baby Was Born.,Buy a Crib,39,Buy Clothes,23,Buy Diapers,21,Baby Shower,7,Parenting Classes,5
Name Something In A Woman’s Purse That A Man Would Never Ask To Borrow.,Lip Stick,43,Tampons,36,Compact,7,Eyelash Curler,4,Perfume,4
Name A Job Where You’d Need Great Vision.,Pilot,31,Doctor,25,Driver,21,Umpire,16,Police Officer,7
Name Something You Might Pay Extra For When You Get Your Car Washed.,Wax,48,Vacuum,37,Detailing,6,Dry Car,3,Polish,3
Name A Game Show That Gives Away A Lot Of Money.,Millionaire,57,Sunscreen,20,Wheel Of Fortune,9,Family Fued,8,Price Is Right,6
Tell Me What Kids Hate Most About School.,Homework,78,Teachers,7,Getting Up,4,Math,3,Principal,2
"If Someone Is Talking Too Much, What Might You Offer Them In The Hope Of Keeping Them Quiet?",Food,41,Gum,26,Money,17,Drink,6,Reading Material,5
Name A Place Where You Sit Until Your Name Is Called.,Doctor’s Office,34,DMV,30,Court,20,Classroom,9,Restaurant,5
Name Something A Plane Can’t Fly Without.,Wings,56,Engine,15,Fuel,13,Tail,8,Rudder,5
Name Something You’d Find In A Boy’s High School Gym Locker Room.,Towels,25,Clothes,23,Lockers,19,Jock Straps,13,Shoes,10
Name Something You See At A WWE Match You’d Never See At A High School Wresting Match.,Blood,26,Violence,26,Characters,12,Costumes,12,Throwing Chairs,9
Name Something You Might Do On A Date In The Park.,Kiss,38,Picnic,35,Walk,16,Hold Hands,6,Use Playground,3
What Might A Flower Gardener Name His Daughter?,Rose,39,Daisy,33,Lily,17,Iris,5,Violet,5
"On A Dating Website, What Activity Do People Often List As A Pastime?",Reading,45,Sports,20,Dancing,15,Hiking,10,Watching Movies,5
Name Something In A Casino That May Give You A Headache.,Noise,39,Smoke,28,Flashung Lights,15,Slot Machines,13,Alcohol,3
Name something for which people shop around before buying,Car,58,Clothes,12,House,11,TV,9,Appliances,6
Name A Breakfast Food You Could Prepare Using Just One Hand.,Toast,39,Eggs,28,Cereal,23,Waffle/Pop Tart,3,Bacon,3
Name A Game That Would Be Inappropriate At A Company Party.,Spin The Bottle,41,Strip Poker,32,Twister,11,Truth Or Dare,11,Beer Pong,3
Name something you might be “on top of”.,The World,33,Work/School,26,Mountain/Hill,16,Your Game,12,Bills,4
"Besides A Book, Tell Me A Good Gift For Someone Who Loves To Read.",Mag./Subscription,35,Book Light,23,E Reader,21,Bookmark,7,Book Shelf,3
Name A Place Where You Would Find An Usher.,Place Of Worship,30,Wedding,26,Movie Theatre,22,Funeral,13,Concert,7
Name An Indoor Activity You Spend Much More Time Doing In Winter.,Watching TV/Movie,42,Reading,34,Playing Games,9,Sleeping,8,Cooking,3
Name An Animal That A Person With Large Teeth Resemble.,Beaver,34,Horse,22,Rabbit,18,Tiger/Lion,14,Donkey,10
Name A Character In The Wizard Of Oz That Would Require The Most Elaborate Costume.,Tin Man,41,Lion,29,Scarecrow,11,Wicked Witch,8,Dorthy,7
Name Something An Airline Passenger Might Find There Isn’t Enough Of On The Plane.,Food,39,Leg Room,25,Seats,16,Pillows/Blankets,12,Drinks,8
Name Something You See Trained Monkey’s Doing In Sitcoms And Movies.,Dancing,38,Talking,22,Eating Bananas,18,Smoking,15,Driving,5
Name A Place Where People Don’t Want To End Up,Jail,52,Dead,22,Hell,17,Homeless,2,Dumpster,2
Name A Way You Know Your Teacher Is Having A Bad Day.,Yells A Lot,36,Grumpy,22,Extra Homework,19,Gives Punishments,16,Facial Expression,3
Name A Specific Stunt That Most Action Movie Heroes Probably Don’t Do Themselves,Fly,42,Jump From Building,29,Car Crash,17,Endure Fire,5,Flips,3
Name A Really Big State.,Texas,62,California,24,Alaska,6,New York,4,Florida,2
What Might You Draw On A Picture Of Someone’s Face In Order To Make Them Look Silly?,Moustache,63,Beard,12,Big Nose,11,Horns,7,Glasses,6
Name Something You’d Need If You Wanted To Play A Game Of Water Polo.,Pool,49,Ball,28,Swimsuit,12,Net,4,Goggles,2
Name A Reason A Teenaged Boy Would Have For Wearing A Suit.,Wedding,43,Church,24,Prom,15,Funeral,11,Graduation,5
What Line Of Work Should You Get Into If Your Hairstyle Is Stiff And Plastered With Hairspray?,Politician,30,Model,25,Newscaster,20,Actor,15,Hairdresser,4
Name Something You’d Hate To Forget On A Ski Trip.,Skis,55,Coat,21,Gloves,13,Boots,5,Hat,4
Name A Famous Animal From A Comic Strip.,Garfield,33,Snoopy,29,Marmaduke,13,Heathcliff,11,Hobbes,11
Name A Type Of Business In Which You Might Have To Work Over THe Holidays.,Retail,33,Police Officer,26,Medical Profession,15,Postal Work,13,Hotel Industry,8
Name A Method People Use When Deciding What Lotto Numbers They’re Going To Play.,Birthday,85,Address,3,Random Numbers,3,Anniversary Date,2,ID Card Number,2
Name A Place On Your Body That Might Be Sore After A Day Of Shoveling.,Arms,41,Back,35,Hands,10,Shoulders,7,Legs,3
Name A Class that Parents Enroll Their Kids In Before They Turn 3 Years Old.,Swimming,40,Dance,34,Art,10,Gymnastics,8,Music,3
"If You’re A Parent, Name something You Take Into Account When Moving",Schools,47,Yard,23,Bedrooms/Bathrooms,13,Neighborhood/kids,10,Near Playground,4
Name A Reason Why Kids Might Have A Weekday Off Of School.,Public Holiday,38,Snow Day,27,Sick,26,Teacher Conference,4,On Vacation,3
Name Something That’s Expensive To Replace If You Lose It.,Jewelry,44,Watch,20,Cell Phone,17,House,7,Pair Of Glasses,6
Name An Article Of Clothing People Get Fitted For.,Suit,35,Tux,26,Wedding Dress,16,Jacket,15,Pants,8
Name An Article Of Clothing A Restaurant Might Require Its Customers To Wear.,Shirt,36,Shoes,19,Tie,17,Sports Coat,15,Pants,8
"What Might Someone Leave Out Of A Personals Ad, That Would Make You Think They Were Hiding Something?",Age,44,Weight,36,Marital Status,6,Gender,6,Photo,5
Name Something A Pro Athlete Might Do To Prepare For A Game.,Stretch,42,Warm Up,35,Meditate,9,Eat Well,4,Plenty Of Sleep,4
Name An Occupation That Thinks Their Time Is More Important Than Yours.,Doctor,47,Lawyer,25,C.E.O.,13,Banker,6,Police Officer,3
Name Something You Wish You Had In Your Backyard,Swimming Pool,61,Garden,13,Playground,10,Hot Tub,6,Pond,4
Name Something That People Have A Desire To Smash.,Corsage,32,Broach,26,Button,20,Name Tag,15,Ribbon,5
"If You Had No Teeth, Tell Me A Food You Couldn’t Eat Anymore.",Corn On The Cob,35,Apples,23,Steak,18,Candy,12,Ribs,10
Name A Reason Why It Takes You Forever To Get Out Of The Grocery Store.,Long Lines,54,Shopping With Kids,16,Crowded,13,Chatting,10,Sales,4
"Other Than A Belt, Name Something That Can Have A Buckle.",Shoe/Boot,47,Car Seat,28,Bag/Purse,11,Coat,6,Suit Case,5
Tell Me An Article Of Clothing That People Who Live In Warm Climates Are Likely To Have Several Of.,Shorts,48,Swim Suits,30,Flip Flops,9,Tank Tops,7,T Shirts,4
Name Something Embarrassing That You Don’t Want To Do While Asleep On A Plane Ride,Snore,44,Drool,29,Pass Gas,12,Jerk/Fall Over,9,Talk In Sleep,3
Name Something That A Secretary Never Wants To Run Out Of At The Office.,Paper,41,Pens/Ink,23,Coffee,12,Staples,11,Time,7
Name Something A Hair Dresser Might Complain About A Customer.,Dirty Hair,31,The Tip,27,Always Moving,14,Late,13,Too Picky,9
Name Something People Check At Least Once A Day.,E Mail,37,Time,31,Mailbox,11,Hair,10,Voice Mail,6
"What Do Fast-Food Employees Have To Do, That 5-Star Wait Staff Don’t?",Cook,34,Clean,31,Work Drive Thru,20,Use Cash Register,6,Wear Uniform,4
Name A Noise That Causes Your Dog To Bark When He Hears It On TV.,Doorbell,29,Dogs Barking,23,Cat,22,Siren,14,Whistle,6
Name something you wouldn’t want to discover in a hotel bed when checking into your room.,Bugs/Rodents,46,Other Peoples’ Stuff,32,Dirty sheets,10,Hair,6,A person,3
Name something you might put on top of a salad.,Dressing,45,Croutons,24,Cheese,22,Fruit,5,Bacon,4
Name something a man might try to keep covered during a first date.,Tattoo,37,Acne,27,Bald Spot,19,Wedding ring,7,Belly,5
Name something a person might be picky about.,Food,58,Clothes,19,Hairstyle,9,Dating,5,Car,3
Name something that house cleaners clean more often than you do(More specific than a room),Toilet,39,Windows,21,Floor,21,Stove/Oven,10,Ceiling Fan,6
Name a way that a man’s voice might change when talking to his love interest.,Deepens,33,Softer,33,Nervous stutter,16,Higher pitch,7,Crack,6
Name a place in their home that people hide money.,Under mattress,49,Dresser drawer,24,Cookie jar,9,Closet,7,Freezer,5
Name a small creature who can be very noisy.,Cricket,38,Bird,28,Chihuahua,15,Cat,11,Frog,5
Name something risky that most people do at least once in their lifetimes.,Skydive,40,Fly,27,Get married,15,Bungee jump,7,Gamble,6
Name a sign your girlfriend might be turning into a mermaid.,Grows tail,39,She swims often,20,Getting scales,15,Always in water,12,Gills,8
Name something men try to cover up.,Affair,59,Baldness,15,Lies,8,Bills/Money,8,Gray hair,4
What body part is most important for a star to maintain?,Face,46,Stomach,34,Legs,6,Butt,5,Hair,4
Name something that shines at night.,Stars,42,Moon,36,Streetlights,9,Fire Flies,4,Headlights,3
Name something the world’s dumbest bank robber might leave at the scene of the crime,The Loot,33,ID,22,Fingerprints,20,Wallet,14,His gun,5
Name a cartoon character who’s always getting hurt.,Wile E Coyote,44,Daffy Duck,18,Tom/Jerry,17,Tasmanian Devil,8,Itchy & Scratchy,7
Name an activity you might do while on a Hawaiian honeymoon.,Surf,41,Swim,29,Snorkel/scuba dive,10,Hula dance,9,Luau,6
Name a job title someone might have in a big company.,CEO,39,President,29,Vice President,16,Supervisor,8,Manager,3
Name a topping you’d put on both a pizza and a taco.,Cheese,44,Beef/Sausage,23,Tomato,20,Olives,6,Onions,4
"Name something everyone says they’re good at when at a job interview,even if it’s a lie.",Computers,31,People skills,29,Punctuality,17,Multitasking,15,Organization,5
"Name something everyone says they’re good at when at a job interview,even if it’s a lie.",Computers,31,People skills,29,Punctuality,17,Multitasking,15,Organization,5
Name an activity people like to do at a lake.,Fishing,45,Boating,19,Swimming,14,Water ski,13,Picnic,3
Name something you might find on a miniature golf course.,Golf ball,54,Windmill,23,Cup,6,Putting green,6,Putter,4
Name something a kid with a broken arm would have a hard time doing at school.,Writing,57,Playing sports,18,Carrying things,7,Going to bathroom,4,Raising hand,3
Name something a manicurist needs to do her job.,Nail File,60,Fingernail Polish,26,Buffer,6,Cotton Balls,5,Scissors,3
For what reason might you suspect that the person you’re dating is in the mob?,Carries a gun,44,Lots of money,23,Italian accent,20,Black clothes,7,Secretive,4
Name a piece of kids’s play equipment that adults would probably hurt themselves using.,Monkey bars,35,Slide,28,Swing,27,Merry go round,5,Seesaw,3
"Past or present,name a presidential couple whose dinner conversations you’d love to eavesdrop on.",The Clintons,36,The Obamas,30,Bush Jr. and Laura,13,The Reagans,10,The Kennedys,6
Name something your partner might do first thing in the morning that wakes you up.,Shower,42,Kiss me,26,Brush teeth,12,Ignore alarm,9,Turn on light,6
"If you just ran a marathon,what would you need to do after the race was over?",Drink water,49,Rest,34,Shower,9,Stretch,4,Use bathroom,3
Tell me something that makes you mad when you’re watching TV.,Commercials,30,Background noise,28,Phone rings,18,Bad reception,15,Violence,7
Name something you might see a picture of on a postcard from Hawaii.,Palm trees,29,Beach,27,Water,17,Hawaiian Woman,15,Volcano,7
What kind of nut butter could you use if you were allergic to peanuts?,Almond,52,Hazelnut,17,Soy,10,Cashew,9,Walnut,9
Name an animal that can live in the cold.,Polar Bear,62,Penguin,22,Seal,5,Wolf,4,Walrus,2
We asked 100 Women: At what age is a man most handsome?(NUMBERS ONLY),30,37,40,30,25,17,35,6,20,4
Name A Kind Of Pyramid.,Egyptian Pyramid,42,Food Pyramid,31,Pyramid Scheme,10,Cheerleaders Pyramid,9,"$100,000 Pyramid",5
Name Something A Woman Would Be Foolish To Apply Makeup Before Doing.,Swimming,34,Showering,28,Going To Sleep,14,Washing Her Face,12,Aerobics,7
Name Something A Pizza Delivery Person Hates About Their Job,Bad Tips,47,Dogs,16,Driving,14,Finding House,14,Bad Areas,8
Name The Article Of Babies’ Clothing That Grown Adults Are Most Shocked By When Seeing Its Tiny Size.,Shoes/Booties,59,Diapers,17,Onesie/Pajamas,11,T-Shirt,7,Bib,3
What Are Some Things That People Send By Email That They Used To Send Through The Mail?,Letter,37,Pictures,23,Cards,16,Invitations,10,Bills,8
Name Something You Associate With The Dallas Cowboys.,Cheerleaders,60,Football,26,Troy Aikman,3,Champs,2,Blue Star,2
Name Something People Burn In Protest.,Flags,61,Bras,21,Draft Cards,7,Signs,6,Books,2
Name An Article Of Clothing Some Women Try To Wear As Tight As Possible,Jeans/Pants,60,Shit/Sweater,13,Skirt/Dress,11,irdle,6,Bra,5
Name Something Stressful That Couples Do Together,Argue/Counseling,29,Manage Money,27,Raise Kids,21,Plan A Wedding,12,Buy A House,8
Name Something Associated With Zorro,Mask,42,Sword,30,Z,14,Horse,5,Cape,4
Name A Type Of Professional Who Might Overcharge If You Don’t Know Any Better.,Mechanic,42,Lawyer,23,Doctor/Dentist,19,Plumber,6,Car Salesperson,5
"If you were a celebrity for a day,name a place or event you’d try to get into.",Awards show,62,The White House,14,VIP Nightclub,10,Concert/Backstage,8,Celebrity party,4
Name Something People Know About Richard Nixon,Watergate,41,Resigned,28,I Am Not A Crook,8,Went To China,8,Checkers Speech,8
Name Something An Employee Sitting In The Cubicle Next To You Might Do That Annoys You.,Talks Too Loud,35,Tap Pen/Pencil,29,Sings,14,Cough,10,Chew Gum,6
Name Something A Kindergarten Teacher Wears To Work That A Banker Never Would,Jeans,43,Apron,34,Tennis Shoes,9,T Shirt,5,Colorful Seater,3
Name A Place You See A Lot Of Green Grass.,Golf Course,45,Park,21,Farm,15,Suburbs,7,Country,6
Name A Comfort Food That Has Cheese In/On It.,Pizza,47,Mac And Cheese,21,Grilled Cheese,10,Nachos,9,Crackers,9
What Thanksgiving Dish Would Do The Least Damage If Thrown At You IN A Food Fight?,Turkey,41,Stuffing,22,Mashed Potatoes,19,Pie,8,Cranberry Sauce,7
Name A Movie With The Word “Dr.” In The Title.,Doctor Doolittle,32,Doctor Zhivago,26,Doctor Who,15,Dr. No,13,Dr. Jekyll/Mr. Hyde,12
Name A Way You Can Tell A Storm Is Coming,Dark Clouds/Sky,61,Lightning,18,Wind Changes,5,Smell,4,Drizzling,3
Tell Me Something That Causes Skin To Turn Red.,Sunburn,37,Rash/Allergy,25,Embarrassment,18,Alcohol,11,Exercise,6
"If you were to open “Heartbreak Hotel,” name something you’d offer your brokenhearted guests.",Chocolate/sweets,35,Love/company,23,A drink,15,Tissue,12,Flowers,6
Name A Reason Why A Particular Kid Might Be Popular In School,Good Looking,29,Good Athlete,28,Rich,18,nicely Dressed,16,Friendly,3
Name Something That Has A Lock On It,Door,67,Safe,13,Car,8,Locker,3,Gate,3
